"Title","Well-being: happiness yesterday"
"Location","UK"
"Time period","2012 to 2017"
"Data source","Office for National Statistics"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/bulletins/measuringnationalwellbeing/januarytodecember2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-03"
"Measure","Year","Ethnicity","Sex","NS-SEC","Threshold","Mean","Percentage","Upper Confidence Interval","Lower Confidence Interval","Sample Size"
"Happiness","2012","Arab","All","All","All","6.88","N/A","7.21","6.55","350"
"Happiness","2013","Arab","All","All","All","6.94","N/A","7.23","6.65","340"
"Happiness","2014","Arab","All","All","All","7.15","N/A","7.43","6.88","380"
"Happiness","2015","Arab","All","All","All","7.19","N/A","7.55","6.82","370"
"Happiness","2016","Arab","All","All","All","7.41","N/A","7.72","7.11","350"
"Happiness","2017","Arab","All","All","All","7.13","N/A","7.43","6.83","340"
"Happiness","2012","Bangladeshi","All","All","All","7.3","N/A","7.54","7.06","580"
"Happiness","2013","Bangladeshi","All","All","All","7.56","N/A","7.76","7.36","560"
"Happiness","2014","Bangladeshi","All","All","All","7.57","N/A","7.77","7.37","570"
"Happiness","2015","Bangladeshi","All","All","All","7.44","N/A","7.69","7.19","560"
"Happiness","2016","Bangladeshi","All","All","All","7.58","N/A","7.8","7.35","560"
"Happiness","2017","Bangladeshi","All","All","All","7.51","N/A","7.78","7.23","590"
"Happiness","2012","Black / African / Caribbean / Black British","All","All","All","7.03","N/A","7.13","6.93","3130"
"Happiness","2013","Black / African / Caribbean / Black British","All","All","All","7.16","N/A","7.26","7.06","3090"
"Happiness","2014","Black / African / Caribbean / Black British","All","All","All","7.33","N/A","7.42","7.23","3170"
"Happiness","2015","Black / African / Caribbean / Black British","All","All","All","7.31","N/A","7.4","7.22","3230"
"Happiness","2016","Black / African / Caribbean / Black British","All","All","All","7.35","N/A","7.46","7.25","3010"
"Happiness","2017","Black / African / Caribbean / Black British","All","All","All","7.34","N/A","7.44","7.23","2940"
"Happiness","2012","Chinese","All","All","All","7.41","N/A","7.59","7.23","610"
"Happiness","2013","Chinese","All","All","All","7.51","N/A","7.71","7.32","590"
"Happiness","2014","Chinese","All","All","All","7.51","N/A","7.7","7.32","590"
"Happiness","2015","Chinese","All","All","All","7.6","N/A","7.81","7.38","590"
"Happiness","2016","Chinese","All","All","All","7.54","N/A","7.72","7.37","580"
"Happiness","2017","Chinese","All","All","All","7.33","N/A","7.54","7.12","610"
"Happiness","2012","Gypsy / Traveller / Irish Traveller","All","All","All","?","N/A","?","?","40"
"Happiness","2013","Gypsy / Traveller / Irish Traveller","All","All","All","?","N/A","?","?","40"
"Happiness","2014","Gypsy / Traveller / Irish Traveller","All","All","All","?","N/A","?","?","30"
"Happiness","2015","Gypsy / Traveller / Irish Traveller","All","All","All","?","N/A","?","?","40"
"Happiness","2016","Gypsy / Traveller / Irish Traveller","All","All","All","?","N/A","?","?","40"
"Happiness","2017","Gypsy / Traveller / Irish Traveller","All","All","All","?","N/A","?","?","40"
"Happiness","2012","Indian","All","All","All","7.49","N/A","7.59","7.39","2750"
"Happiness","2013","Indian","All","All","All","7.54","N/A","7.63","7.44","2740"
"Happiness","2014","Indian","All","All","All","7.59","N/A","7.69","7.5","2880"
"Happiness","2015","Indian","All","All","All","7.7","N/A","7.79","7.6","2730"
"Happiness","2016","Indian","All","All","All","7.75","N/A","7.85","7.66","2710"
"Happiness","2017","Indian","All","All","All","7.8","N/A","7.9","7.71","2520"
"Happiness","2012","Mixed / Multiple ethnic groups","All","All","All","7.03","N/A","7.19","6.87","970"
"Happiness","2013","Mixed / Multiple ethnic groups","All","All","All","7.24","N/A","7.44","7.05","950"
"Happiness","2014","Mixed / Multiple ethnic groups","All","All","All","6.99","N/A","7.17","6.82","1050"
"Happiness","2015","Mixed / Multiple ethnic groups","All","All","All","7.21","N/A","7.38","7.04","1020"
"Happiness","2016","Mixed / Multiple ethnic groups","All","All","All","7.37","N/A","7.53","7.2","990"
"Happiness","2017","Mixed / Multiple ethnic groups","All","All","All","7.21","N/A","7.37","7.05","1040"
"Happiness","2012","Other Asian background","All","All","All","7.37","N/A","7.53","7.21","1080"
"Happiness","2013","Other Asian background","All","All","All","7.43","N/A","7.63","7.23","1060"
