"NS-SEC","Ethnicity",""
"Higher managerial and professional","All","7.59"
"Higher managerial and professional","Arab","7.31"
"Higher managerial and professional","Bangladeshi","7.79"
"Higher managerial and professional","Chinese","7.71"
"Higher managerial and professional","Indian","7.73"
"Higher managerial and professional","Pakistani","7.77"
"Higher managerial and professional","Asian other","7.43"
"Higher managerial and professional","Black","7.48"
"Higher managerial and professional","Mixed","7.41"
"Higher managerial and professional","White","7.59"
"Higher managerial and professional","White Gypsy/Traveller","?"
"Higher managerial and professional","Other","7.75"
"Lower managerial and professional","All","7.57"
"Lower managerial and professional","Arab","7.27"
"Lower managerial and professional","Bangladeshi","7.26"
"Lower managerial and professional","Chinese","7.43"
"Lower managerial and professional","Indian","7.68"
"Lower managerial and professional","Pakistani","7.36"
"Lower managerial and professional","Asian other","7.70"
"Lower managerial and professional","Black","7.33"
"Lower managerial and professional","Mixed","7.36"
"Lower managerial and professional","White","7.58"
"Lower managerial and professional","White Gypsy/Traveller","?"
"Lower managerial and professional","Other","7.45"
"Intermediate occupations","All","7.50"
"Intermediate occupations","Arab","?"
"Intermediate occupations","Bangladeshi","7.16"
"Intermediate occupations","Chinese","7.09"
"Intermediate occupations","Indian","7.74"
"Intermediate occupations","Pakistani","7.50"
"Intermediate occupations","Asian other","7.54"
"Intermediate occupations","Black","7.22"
"Intermediate occupations","Mixed","7.25"
"Intermediate occupations","White","7.51"
"Intermediate occupations","White Gypsy/Traveller","?"
"Intermediate occupations","Other","7.47"
"Small employers and own account workers","All","7.59"
"Small employers and own account workers","Arab","7.18"
"Small employers and own account workers","Bangladeshi","7.85"
"Small employers and own account workers","Chinese","7.82"
"Small employers and own account workers","Indian","7.81"
"Small employers and own account workers","Pakistani","7.45"
"Small employers and own account workers","Asian other","7.40"
"Small employers and own account workers","Black","7.35"
"Small employers and own account workers","Mixed","7.02"
"Small employers and own account workers","White","7.61"
"Small employers and own account workers","White Gypsy/Traveller","?"
"Small employers and own account workers","Other","7.46"
"Lower supervisory and technical","All","7.48"
"Lower supervisory and technical","Arab","?"
"Lower supervisory and technical","Bangladeshi","7.75"
"Lower supervisory and technical","Chinese","?"
"Lower supervisory and technical","Indian","7.74"
"Lower supervisory and technical","Pakistani","7.59"
"Lower supervisory and technical","Asian other","7.50"
"Lower supervisory and technical","Black","7.36"
"Lower supervisory and technical","Mixed","7.00"
"Lower supervisory and technical","White","7.48"
"Lower supervisory and technical","White Gypsy/Traveller","?"
"Lower supervisory and technical","Other","8.08"
"Semi-routine occupations","All","7.41"
"Semi-routine occupations","Arab","7.30"
"Semi-routine occupations","Bangladeshi","7.59"
"Semi-routine occupations","Chinese","7.69"
"Semi-routine occupations","Indian","7.64"
"Semi-routine occupations","Pakistani","7.50"
"Semi-routine occupations","Asian other","7.76"
"Semi-routine occupations","Black","7.24"
"Semi-routine occupations","Mixed","7.03"
"Semi-routine occupations","White","7.41"
"Semi-routine occupations","White Gypsy/Traveller","?"
"Semi-routine occupations","Other","7.46"
"Routine occupations","All","7.40"
"Routine occupations","Arab","?"
"Routine occupations","Bangladeshi","7.42"
"Routine occupations","Chinese","?"
"Routine occupations","Indian","7.67"
"Routine occupations","Pakistani","7.48"
"Routine occupations","Asian other","7.51"
"Routine occupations","Black","7.38"
"Routine occupations","Mixed","7.19"
"Routine occupations","White","7.39"
"Routine occupations","White Gypsy/Traveller","?"
"Routine occupations","Other","7.73"
"Never worked, unemployed, and nec","All","7.39"
"Never worked, unemployed, and nec","Arab","7.22"
"Never worked, unemployed, and nec","Bangladeshi","7.50"
"Never worked, unemployed, and nec","Chinese","7.61"
"Never worked, unemployed, and nec","Indian","7.61"
"Never worked, unemployed, and nec","Pakistani","7.43"
"Never worked, unemployed, and nec","Asian other","7.54"
"Never worked, unemployed, and nec","Black","7.26"
"Never worked, unemployed, and nec","Mixed","7.16"
"Never worked, unemployed, and nec","White","7.39"
"Never worked, unemployed, and nec","White Gypsy/Traveller","?"
"Never worked, unemployed, and nec","Other","7.21"
