"Title","Happiness by ethnicity over time"
"Location","UK"
"Time period","2012 to 2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/datasets/measuringnationalwellbeinghappiness"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Year","Ethnicity",""
"2012","All","7.31"
"2012","Bangladeshi","7.30"
"2012","Chinese","7.41"
"2012","Indian","7.49"
"2012","Pakistani","7.16"
"2012","Asian other","7.37"
"2012","Black","7.03"
"2012","Mixed","7.03"
"2012","White","7.32"
"2012","Other","7.09"
"2012","Arab","6.88"
"2012","Gypsy / Traveller / Irish Traveller","?"
"2013","All","7.37"
"2013","Bangladeshi","7.56"
"2013","Chinese","7.51"
"2013","Indian","7.54"
"2013","Pakistani","7.18"
"2013","Asian other","7.43"
"2013","Black","7.16"
"2013","Mixed","7.24"
"2013","White","7.38"
"2013","Other","7.19"
"2013","Arab","6.94"
"2013","Gypsy / Traveller / Irish Traveller","?"
"2014","All","7.44"
"2014","Bangladeshi","7.57"
"2014","Chinese","7.51"
"2014","Indian","7.59"
"2014","Pakistani","7.39"
"2014","Asian other","7.50"
"2014","Black","7.33"
"2014","Mixed","6.99"
"2014","White","7.45"
"2014","Other","7.43"
"2014","Arab","7.15"
"2014","Gypsy / Traveller / Irish Traveller","?"
"2015","All","7.48"
"2015","Bangladeshi","7.44"
"2015","Chinese","7.60"
"2015","Indian","7.70"
"2015","Pakistani","7.53"
"2015","Asian other","7.52"
"2015","Black","7.31"
"2015","Mixed","7.21"
"2015","White","7.48"
"2015","Other","7.43"
"2015","Arab","7.19"
"2015","Gypsy / Traveller / Irish Traveller","?"
"2016","All","7.49"
"2016","Bangladeshi","7.58"
"2016","Chinese","7.54"
"2016","Indian","7.75"
"2016","Pakistani","7.50"
"2016","Asian other","7.61"
"2016","Black","7.35"
"2016","Mixed","7.37"
"2016","White","7.49"
"2016","Other","7.62"
"2016","Arab","7.41"
"2016","Gypsy / Traveller / Irish Traveller","?"
