"Title","Happiness thresholds by ethnicity"
"Location","UK"
"Time period","2017"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/bulletins/measuringnationalwellbeing/januarytodecember2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/05/2018"

"Threshold","Ethnicity",""
"Very High (9-10)","All","35.12"
"Very High (9-10)","Arab","27.08"
"Very High (9-10)","Bangladeshi","37.51"
"Very High (9-10)","Chinese","27.90"
"Very High (9-10)","Indian","38.47"
"Very High (9-10)","Pakistani","36.90"
"Very High (9-10)","Asian other","37.30"
"Very High (9-10)","Black","33.76"
"Very High (9-10)","Mixed","26.79"
"Very High (9-10)","White","35.17"
"Very High (9-10)","White Gypsy/Traveller","?"
"Very High (9-10)","Other","36.97"
"High (7-8)","All","40.36"
"High (7-8)","Arab","42.44"
"High (7-8)","Bangladeshi","34.49"
"High (7-8)","Chinese","41.12"
"High (7-8)","Indian","42.13"
"High (7-8)","Pakistani","36.26"
"High (7-8)","Asian other","40.78"
"High (7-8)","Black","37.15"
"High (7-8)","Mixed","44.25"
"High (7-8)","White","40.50"
"High (7-8)","White Gypsy/Traveller","?"
"High (7-8)","Other","37.75"
"Medium (5-6)","All","16.26"
"Medium (5-6)","Arab","18.18"
"Medium (5-6)","Bangladeshi","18.03"
"Medium (5-6)","Chinese","24.78"
"Medium (5-6)","Indian","14.12"
"Medium (5-6)","Pakistani","18.50"
"Medium (5-6)","Asian other","15.75"
"Medium (5-6)","Black","18.64"
"Medium (5-6)","Mixed","18.79"
"Medium (5-6)","White","16.08"
"Medium (5-6)","White Gypsy/Traveller","?"
"Medium (5-6)","Other","17.12"
"Low (0-4)","All","8.26"
"Low (0-4)","Arab","12.30"
"Low (0-4)","Bangladeshi","?"
"Low (0-4)","Chinese","6.20"
"Low (0-4)","Indian","5.28"
"Low (0-4)","Pakistani","8.35"
"Low (0-4)","Asian other","6.17"
"Low (0-4)","Black","10.45"
"Low (0-4)","Mixed","10.18"
"Low (0-4)","White","8.25"
"Low (0-4)","White Gypsy/Traveller","?"
"Low (0-4)","Other","8.16"
