"Title","Employment in occupations by ethnicity"
"Location","United Kingdom"
"Time period","2016"
"Data source","Annual Population Survey https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"

"Ethnicity","Occupation","Value"
"All","Administrative & secretarial  ","10"
"Black","Administrative & secretarial  ","10"
"Indian","Administrative & secretarial  ","10"
"Mixed","Administrative & secretarial  ","8"
"Other","Administrative & secretarial  ","7"
"Pakistani/Bangladeshi","Administrative & secretarial  ","9"
"White","Administrative & secretarial  ","11"
"All","Associate professional & technical ","14"
"Black","Associate professional & technical ","12"
"Indian","Associate professional & technical ","13"
"Mixed","Associate professional & technical ","19"
"Other","Associate professional & technical ","12"
"Pakistani/Bangladeshi","Associate professional & technical ","11"
"White","Associate professional & technical ","15"
"All","Caring, leisure and other services","9"
"Black","Caring, leisure and other services","17"
"Indian","Caring, leisure and other services","6"
"Mixed","Caring, leisure and other services","12"
"Other","Caring, leisure and other services","10"
"Pakistani/Bangladeshi","Caring, leisure and other services","6"
"White","Caring, leisure and other services","9"
"All","Elementary  ","11"
"Black","Elementary  ","16"
"Indian","Elementary  ","9"
"Mixed","Elementary  ","11"
"Other","Elementary  ","14"
"Pakistani/Bangladeshi","Elementary  ","11"
"White","Elementary  ","11"
"All","Managers, directors & senior officials ","11"
"Black","Managers, directors & senior officials ","5"
"Indian","Managers, directors & senior officials ","11"
"Mixed","Managers, directors & senior officials ","8"
"Other","Managers, directors & senior officials ","10"
"Pakistani/Bangladeshi","Managers, directors & senior officials ","9"
"White","Managers, directors & senior officials ","11"
"All","Process, plant & machine operatives ","7"
"Black","Process, plant & machine operatives ","6"
"Indian","Process, plant & machine operatives ","6"
"Mixed","Process, plant & machine operatives ","4"
"Other","Process, plant & machine operatives ","7"
"Pakistani/Bangladeshi","Process, plant & machine operatives ","17"
"White","Process, plant & machine operatives ","6"
"All","Professional  ","20"
"Black","Professional  ","20"
"Indian","Professional  ","32"
"Mixed","Professional  ","22"
"Other","Professional  ","24"
"Pakistani/Bangladeshi","Professional  ","18"
"White","Professional  ","20"
"All","Sales & consumer service  ","8"
"Black","Sales & consumer service  ","9"
"Indian","Sales & consumer service  ","8"
"Mixed","Sales & consumer service  ","10"
"Other","Sales & consumer service  ","10"
"Pakistani/Bangladeshi","Sales & consumer service  ","13"
"White","Sales & consumer service  ","7"
"All","Skilled trades  ","11"
"Black","Skilled trades  ","5"
"Indian","Skilled trades  ","5"
"Mixed","Skilled trades  ","7"
"Other","Skilled trades  ","7"
"Pakistani/Bangladeshi","Skilled trades  ","6"
"White","Skilled trades  ","11"
