"Title","Incidents of self-harm by young people in custody by ethnicity and year"
"Location","England and Wales"
"Time period","2010/11 to 2015/16"
"Data source","[Youth Justice Statistics Supplementary Table 8.15](https://www.gov.uk/government/statistics/youth-justice-statistics-2015-to-2016)"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Year","Ethnic Group","Value","Average population per month","Average number of self harm incidents per month"
"2010/11","Ethnic minorities","1.3","971.2","12.9"
"2010/11","White","5.5","1911.4","105.3"
"2011/12","Ethnic minorities","1.6","1039.8","16.9"
"2011/12","White","7.3","1727.7","125.9"
"2012/13","Ethnic minorities","1.3","860.8","11.4"
"2012/13","White","7.8","1381.3","107.5"
"2013/14","Ethnic minorities","2","628.3","12.7"
"2013/14","White","9.5","1025.9","97"
"2014/15","Ethnic minorities","3.2","549.8","17.8"
"2014/15","White","10.5","866.1","91"
"2015/16","Ethnic minorities","3.8","524","20.2"
"2015/16","White","12.4","766.4","95.3"
