"Title","Number of arrests by ethnicity and gender"
"Location","England and Wales"
"Time period","2015/16"
"Data source","Arrests open data https://www.gov.uk/government/collections/police-powers-and-procedures-england-and-wales"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Geography_type","Arrests","Population by ethnicity, gender, and PFA (based on 2011 Census)","Value","Proportion of arrests of this ethnicity, in this year, of this gender and in this police force area (excludes unreported)"
"Number of arrests","2015/16","Financial Year","Unreported","ONS 2001 5+1","All","All","Police Force Area","47,107","N/A","N/A","N/A"
"Number of arrests","2015/16","Financial Year","Unreported","ONS 2001 5+1","Female","Male/Female","Police Force Area","7,571","N/A","N/A","N/A"
"Number of arrests","2015/16","Financial Year","Unreported","ONS 2001 5+1","Male","Male/Female","Police Force Area","39,536","N/A","N/A","N/A"
"Number of arrests","2015/16","Financial Year","Black","ONS 2001 5+1","Male","Male/Female","Police Force Area","72,761","898,200","81.01","10.15%"
"Number of arrests","2015/16","Financial Year","Black","ONS 2001 5+1","All","All","Police Force Area","82,789","1,864,890","44.39","9.75%"
"Number of arrests","2015/16","Financial Year","Mixed","ONS 2001 5+1","Male","Male/Female","Police Force Area","24,451","611,533","39.98","3.41%"
"Number of arrests","2015/16","Financial Year","Asian","ONS 2001 5+1","Male","Male/Female","Police Force Area","54,855","1,934,129","28.36","7.65%"
"Number of arrests","2015/16","Financial Year","All","All","Male","Male/Female","Police Force Area","756,294","27,573,376","27.43","100.00%"
"Number of arrests","2015/16","Financial Year","Other","ONS 2001 5+1","Male","Male/Female","Police Force Area","12,473","498,596","25.02","1.74%"
"Number of arrests","2015/16","Financial Year","Mixed","ONS 2001 5+1","All","All","Police Force Area","29,146","1,224,400","23.8","3.43%"
"Number of arrests","2015/16","Financial Year","White","ONS 2001 5+1","Male","Male/Female","Police Force Area","552,218","23,630,918","23.37","77.04%"
"Number of arrests","2015/16","Financial Year","All","All","All","All","Police Force Area","896,209","56,075,912","15.98","100.00%"
"Number of arrests","2015/16","Financial Year","Asian","ONS 2001 5+1","All","All","Police Force Area","59,665","3,820,390","15.62","7.03%"
"Number of arrests","2015/16","Financial Year","Other","ONS 2001 5+1","All","All","Police Force Area","14,443","956,837","15.09","1.70%"
"Number of arrests","2015/16","Financial Year","White","ONS 2001 5+1","All","All","Police Force Area","663,059","48,209,395","13.75","78.09%"
"Number of arrests","2015/16","Financial Year","Black","ONS 2001 5+1","Female","Male/Female","Police Force Area","10,028","966,690","10.37","7.58%"
"Number of arrests","2015/16","Financial Year","Mixed","ONS 2001 5+1","Female","Male/Female","Police Force Area","4,695","612,867","7.66","3.55%"
"Number of arrests","2015/16","Financial Year","All","All","Female","Male/Female","Police Force Area","139,915","28,502,536","4.91","100.00%"
"Number of arrests","2015/16","Financial Year","White","ONS 2001 5+1","Female","Male/Female","Police Force Area","110,841","24,578,477","4.51","83.75%"
"Number of arrests","2015/16","Financial Year","Other","ONS 2001 5+1","Female","Male/Female","Police Force Area","1,970","458,241","4.3","1.49%"
"Number of arrests","2015/16","Financial Year","Asian","ONS 2001 5+1","Female","Male/Female","Police Force Area","4,810","1,886,261","2.55","3.63%"
