"Title","A* to C in English and Maths GCSE by ethnicity, type of faith school and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 attainment data https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","Religious character","Value"," Denominator ","Lower confidence interval","Upper confidence interval","Notes","Boys-Value"," Boys-Denominator ","Notes","Girls-Value"," Girls-Denominator ","Notes"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","No religious character","63"," 343,946 ","NA","NA","","60"," 174,264 ","","67"," 169,682 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","No religious character","63"," 17,889 ","NA","NA","","59"," 8,942 ","","67"," 8,947 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","No religious character","67"," 43,374 ","NA","NA","","64"," 22,332 ","","70"," 21,042 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","No religious character","58"," 19,147 ","NA","NA","","52"," 9,576 ","","63"," 9,571 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","No religious character","84"," 1,641 ","NA","NA","","79"," 843 ","","89"," 798 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Church of England schools","66"," 22,465 ","NA","NA","","63"," 11,327 ","","69"," 11,138 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Church of England schools","66"," 1,361 ","NA","NA","","65"," 700 ","","68"," 661 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Church of England schools","71"," 2,058 ","NA","NA","","68"," 1,212 ","","74"," 846 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Church of England schools","62"," 2,402 ","NA","NA","","56"," 1,157 ","","67"," 1,245 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Church of England schools","88"," 141 ","NA","NA","","88"," 72 ","","88"," 69 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Roman Catholic schools","68"," 38,676 ","NA","NA","","65"," 18,915 ","","71"," 19,761 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Roman Catholic schools","68"," 2,634 ","NA","NA","","64"," 1,273 ","","72"," 1,361 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Roman Catholic schools","73"," 3,435 ","NA","NA","","68"," 1,818 ","","79"," 1,617 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Roman Catholic schools","68"," 5,100 ","NA","NA","","63"," 2,374 ","","72"," 2,726 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Roman Catholic schools","80"," 157 ","NA","NA","","72"," 68 ","","85"," 89 ",""
