"Title","A* to C in English and Maths GCSE by ethnicity, gender and free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 attainment data https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value"," Denominator ","Lower confidence interval","Upper confidence interval","Notes","Grouping"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","18+1 (Major)","England","Country","E92000001","Boys","Pupils eligible for free school meals","31"," 25,284 ","NA","NA","","Boys eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - British","18+1 (Minor)","England","Country","E92000001","Boys","Pupils eligible for free school meals","30"," 23,654 ","NA","NA","","Boys eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish","18+1 (Minor)","England","Country","E92000001","Boys","Pupils eligible for free school meals","38"," 115 ","NA","NA","","Boys eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish Traveller","18+1 (Minor)","England","Country","E92000001","Boys","Pupils eligible for free school meals","17"," 41 ","NA","NA","","Boys eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Gypsy/Roma","18+1 (Minor)","England","Country","E92000001","Boys","Pupils eligible for free school meals","7"," 157 ","NA","NA","","Boys eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Any other","18+1 (Minor)","England","Country","E92000001","Boys","Pupils eligible for free school meals","44"," 1,317 ","NA","NA","","Boys eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","18+1 (Major)","England","Country","E92000001","Boys","Pupils eligible for free school meals","38"," 2,121 ","NA","NA","","Boys eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - Caribbean","18+1 (Minor)","England","Country","E92000001","Boys","Pupils eligible for free school meals","33"," 816 ","NA","NA","","Boys eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - African","18+1 (Minor)","England","Country","E92000001","Boys","Pupils eligible for free school meals","43"," 275 ","NA","NA","","Boys eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Asian","18+1 (Minor)","England","Country","E92000001","Boys","Pupils eligible for free school meals","41"," 362 ","NA","NA","","Boys eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - Any other ","18+1 (Minor)","England","Country","E92000001","Boys","Pupils eligible for free school meals","42"," 668 ","NA","NA","","Boys eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","18+1 (Major)","England","Country","E92000001","Boys","Pupils eligible for free school meals","51"," 4,724 ","NA","NA","","Boys eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Indian","18+1 (Minor)","England","Country","E92000001","Boys","Pupils eligible for free school meals","58"," 539 ","NA","NA","","Boys eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Pakistani","18+1 (Minor)","England","Country","E92000001","Boys","Pupils eligible for free school meals","44"," 2,396 ","NA","NA","","Boys eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Bangladeshi","18+1 (Minor)","England","Country","E92000001","Boys","Pupils eligible for free school meals","62"," 1,267 ","NA","NA","","Boys eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Any other","18+1 (Minor)","England","Country","E92000001","Boys","Pupils eligible for free school meals","53"," 522 ","NA","NA","","Boys eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","18+1 (Major)","England","Country","E92000001","Boys","Pupils eligible for free school meals","44"," 3,317 ","NA","NA","","Boys eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Caribbean","18+1 (Minor)","England","Country","E92000001","Boys","Pupils eligible for free school meals","33"," 838 ","NA","NA","","Boys eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - African","18+1 (Minor)","England","Country","E92000001","Boys","Pupils eligible for free school meals","49"," 2,075 ","NA","NA","","Boys eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Any other ","18+1 (Minor)","England","Country","E92000001","Boys","Pupils eligible for free school meals","42"," 404 ","NA","NA","","Boys eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","18+1 (Major)","England","Country","E92000001","Boys","Pupils eligible for free school meals","76"," 67 ","NA","NA","","Boys eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Other - Any other","18+1 (Minor)","England","Country","E92000001","Boys","Pupils eligible for free school meals","49"," 1,060 ","NA","NA","","Boys eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","unclassified","18+1 (Minor)","England","Country","E92000001","Boys","Pupils eligible for free school meals","30"," 507 ","NA","NA","","Boys eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All - England","All pupils","England","Country","E92000001","Boys","Pupils eligible for free school meals","35"," 37,080 ","NA","NA","","Boys eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","18+1 (Major)","England","Country","E92000001","Girls","Pupils eligible for free school meals","38"," 24,311 ","NA","NA","","Girls eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - British","18+1 (Minor)","England","Country","E92000001","Girls","Pupils eligible for free school meals","38"," 22,784 ","NA","NA","","Girls eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish","18+1 (Minor)","England","Country","E92000001","Girls","Pupils eligible for free school meals","42"," 98 ","NA","NA","","Girls eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish Traveller","18+1 (Minor)","England","Country","E92000001","Girls","Pupils eligible for free school meals","16"," 32 ","NA","NA","","Girls eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Gypsy/Roma","18+1 (Minor)","England","Country","E92000001","Girls","Pupils eligible for free school meals","12"," 173 ","NA","NA","","Girls eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Any other","18+1 (Minor)","England","Country","E92000001","Girls","Pupils eligible for free school meals","49"," 1,224 ","NA","NA","","Girls eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","18+1 (Major)","England","Country","E92000001","Girls","Pupils eligible for free school meals","47"," 2,119 ","NA","NA","","Girls eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - Caribbean","18+1 (Minor)","England","Country","E92000001","Girls","Pupils eligible for free school meals","42"," 804 ","NA","NA","","Girls eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - African","18+1 (Minor)","England","Country","E92000001","Girls","Pupils eligible for free school meals","55"," 254 ","NA","NA","","Girls eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Asian","18+1 (Minor)","England","Country","E92000001","Girls","Pupils eligible for free school meals","54"," 370 ","NA","NA","","Girls eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - Any other ","18+1 (Minor)","England","Country","E92000001","Girls","Pupils eligible for free school meals","47"," 691 ","NA","NA","","Girls eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","18+1 (Major)","England","Country","E92000001","Girls","Pupils eligible for free school meals","57"," 4,294 ","NA","NA","","Girls eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Indian","18+1 (Minor)","England","Country","E92000001","Girls","Pupils eligible for free school meals","67"," 503 ","NA","NA","","Girls eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Pakistani","18+1 (Minor)","England","Country","E92000001","Girls","Pupils eligible for free school meals","51"," 2,140 ","NA","NA","","Girls eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Bangladeshi","18+1 (Minor)","England","Country","E92000001","Girls","Pupils eligible for free school meals","60"," 1,194 ","NA","NA","","Girls eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Any other","18+1 (Minor)","England","Country","E92000001","Girls","Pupils eligible for free school meals","63"," 457 ","NA","NA","","Girls eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","18+1 (Major)","England","Country","E92000001","Girls","Pupils eligible for free school meals","55"," 3,227 ","NA","NA","","Girls eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Caribbean","18+1 (Minor)","England","Country","E92000001","Girls","Pupils eligible for free school meals","46"," 851 ","NA","NA","","Girls eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - African","18+1 (Minor)","England","Country","E92000001","Girls","Pupils eligible for free school meals","58"," 2,011 ","NA","NA","","Girls eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Any other ","18+1 (Minor)","England","Country","E92000001","Girls","Pupils eligible for free school meals","53"," 365 ","NA","NA","","Girls eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","18+1 (Major)","England","Country","E92000001","Girls","Pupils eligible for free school meals","83"," 63 ","NA","NA","","Girls eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Other - Any other","18+1 (Minor)","England","Country","E92000001","Girls","Pupils eligible for free school meals","55"," 964 ","NA","NA","","Girls eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","unclassified","18+1 (Minor)","England","Country","E92000001","Girls","Pupils eligible for free school meals","40"," 470 ","NA","NA","","Girls eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All - England","All pupils","England","Country","E92000001","Girls","Pupils eligible for free school meals","43"," 35,448 ","NA","NA","","Girls eligible for free school meals"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","18+1 (Major)","England","Country","E92000001","Boys","All other pupils","63"," 190,070 ","NA","NA","","Boys All other pupils"
