"Title","A* to C in English and Maths GCSE by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value"," Denominator "
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","DFE","England","Country","E92000001","All","All pupils","63","422,763"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - British","DFE","England","Country","E92000001","All","All pupils","63","395,316"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish","DFE","England","Country","E92000001","All","All pupils","72","1,774"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish Traveller","DFE","England","Country","E92000001","All","All pupils","21","122"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Gypsy/Roma","DFE","England","Country","E92000001","All","All pupils","10","1,107"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Any other","DFE","England","Country","E92000001","All","All pupils","59","24,444"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","DFE","England","Country","E92000001","All","All pupils","63","22,868"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - Caribbean","DFE","England","Country","E92000001","All","All pupils","54","7,160"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - African","DFE","England","Country","E92000001","All","All pupils","62","2,687"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Asian","DFE","England","Country","E92000001","All","All pupils","72","5,089"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - Any other ","DFE","England","Country","E92000001","All","All pupils","65","7,932"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","DFE","England","Country","E92000001","All","All pupils","67","51,218"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Indian","DFE","England","Country","E92000001","All","All pupils","77","14,046"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Pakistani","DFE","England","Country","E92000001","All","All pupils","58","20,434"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Bangladeshi","DFE","England","Country","E92000001","All","All pupils","67","8,319"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Any other","DFE","England","Country","E92000001","All","All pupils","73","8,419"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","DFE","England","Country","E92000001","All","All pupils","59","27,924"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Caribbean","DFE","England","Country","E92000001","All","All pupils","51","7,216"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - African","DFE","England","Country","E92000001","All","All pupils","63","17,349"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Any other ","DFE","England","Country","E92000001","All","All pupils","55","3,359"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","DFE","England","Country","E92000001","All","All pupils","83","2,026"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Other","DFE","England","Country","E92000001","All","All pupils","62","8,119"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","unclassified","DFE","England","Country","E92000001","All","All pupils","53","5,771"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All - England","DFE","England","Country","E92000001","All","All pupils","63","540,689"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","DFE","England","Country","E92000001","Boys","All pupils","59","215,354"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - British","DFE","England","Country","E92000001","Boys","All pupils","59","201,407"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish","DFE","England","Country","E92000001","Boys","All pupils","69","883"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish Traveller","DFE","England","Country","E92000001","Boys","All pupils","18","67"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Gypsy/Roma","DFE","England","Country","E92000001","Boys","All pupils","9","534"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Any other","DFE","England","Country","E92000001","Boys","All pupils","55","12,463"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","DFE","England","Country","E92000001","Boys","All pupils","58","11,535"
