"Title","A* to C in English and Maths GCSE by ethnicity and school type"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","School Type"," Value "," Denominator "
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","64","414,528"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","64","22,465"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","68","50,515"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","60","27,407"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","84","2,008"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","62","145,402"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","60","8,130"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","65","21,499"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","58","11,496"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Local authority maintained mainstream schools","79","591"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Academies and free schools","65","268,711"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Academies and free schools","66","14,288"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Academies and free schools","70","28,983"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Academies and free schools","62","15,874"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Academies and free schools","85","1,416"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Sponsored academies","52","64,925"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Sponsored academies","55","3,759"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Sponsored academies","59","7,419"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Sponsored academies","58","6,173"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Sponsored academies","81","277"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Converter academies","70","200,260"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Converter academies","70","10,292"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Converter academies","75","20,958"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Converter academies","65","9,482"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Converter academies","87","1,127"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Free schools","62","1,187"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Free schools","79","79"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Free schools","73","411"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Free schools","53","60"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Free schools","!","8"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","University technical colleges","54","1,412"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","University technical colleges","57","108"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","University technical colleges","41","125"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","University technical colleges","42","130"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","University technical colleges","!","!"
