"Title","A* to C in English and Maths GCSE by ethnicity and free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value"," Denominator "
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","DFE","England","Country","E92000001","All pupils","FSM","34","49,595"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - British","DFE","England","Country","E92000001","All pupils","FSM","34","46,438"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish","DFE","England","Country","E92000001","All pupils","FSM","40","213"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish Traveller","DFE","England","Country","E92000001","All pupils","FSM","16","73"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Gypsy/Roma","DFE","England","Country","E92000001","All pupils","FSM","9","330"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Any other","DFE","England","Country","E92000001","All pupils","FSM","46","2,541"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","DFE","England","Country","E92000001","All pupils","FSM","43","4,240"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - Caribbean","DFE","England","Country","E92000001","All pupils","FSM","37","1,620"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - African","DFE","England","Country","E92000001","All pupils","FSM","48","529"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Asian","DFE","England","Country","E92000001","All pupils","FSM","48","732"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - Any other ","DFE","England","Country","E92000001","All pupils","FSM","45","1,359"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","DFE","England","Country","E92000001","All pupils","FSM","54","9,018"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Indian","DFE","England","Country","E92000001","All pupils","FSM","62","1,042"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Pakistani","DFE","England","Country","E92000001","All pupils","FSM","47","4,536"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Bangladeshi","DFE","England","Country","E92000001","All pupils","FSM","61","2,461"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Any other","DFE","England","Country","E92000001","All pupils","FSM","58","979"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","DFE","England","Country","E92000001","All pupils","FSM","49","6,544"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Caribbean","DFE","England","Country","E92000001","All pupils","FSM","39","1,689"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - African","DFE","England","Country","E92000001","All pupils","FSM","53","4,086"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Any other ","DFE","England","Country","E92000001","All pupils","FSM","47","769"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","DFE","England","Country","E92000001","All pupils","FSM","79","130"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Other","DFE","England","Country","E92000001","All pupils","FSM","52","2,024"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","unclassified","DFE","England","Country","E92000001","All pupils","FSM","35","977"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All - England","DFE","England","Country","E92000001","All pupils","FSM","39","72,528"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","DFE","England","Country","E92000001","All pupils","Non-FSM","67","373,168"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - British","DFE","England","Country","E92000001","All pupils","Non-FSM","67","348,878"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish","DFE","England","Country","E92000001","All pupils","Non-FSM","77","1,561"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish Traveller","DFE","England","Country","E92000001","All pupils","Non-FSM","29","49"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Gypsy/Roma","DFE","England","Country","E92000001","All pupils","Non-FSM","11","777"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Any other","DFE","England","Country","E92000001","All pupils","Non-FSM","60","21,903"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","DFE","England","Country","E92000001","All pupils","Non-FSM","67","18,628"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - Caribbean","DFE","England","Country","E92000001","All pupils","Non-FSM","58","5,540"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - African","DFE","England","Country","E92000001","All pupils","Non-FSM","65","2,158"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Asian","DFE","England","Country","E92000001","All pupils","Non-FSM","76","4,357"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - Any other ","DFE","England","Country","E92000001","All pupils","Non-FSM","69","6,573"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","DFE","England","Country","E92000001","All pupils","Non-FSM","70","42,200"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Indian","DFE","England","Country","E92000001","All pupils","Non-FSM","79","13,004"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Pakistani","DFE","England","Country","E92000001","All pupils","Non-FSM","61","15,898"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Bangladeshi","DFE","England","Country","E92000001","All pupils","Non-FSM","70","5,858"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Any other","DFE","England","Country","E92000001","All pupils","Non-FSM","75","7,440"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","DFE","England","Country","E92000001","All pupils","Non-FSM","62","21,380"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Caribbean","DFE","England","Country","E92000001","All pupils","Non-FSM","54","5,527"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - African","DFE","England","Country","E92000001","All pupils","Non-FSM","66","13,263"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Any other ","DFE","England","Country","E92000001","All pupils","Non-FSM","58","2,590"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","DFE","England","Country","E92000001","All pupils","Non-FSM","83","1,896"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Other","DFE","England","Country","E92000001","All pupils","Non-FSM","65","6,095"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","unclassified","DFE","England","Country","E92000001","All pupils","Non-FSM","56","4,794"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All - England","DFE","England","Country","E92000001","All pupils","Non-FSM","67","468,161"
