"Title","A* to C in English and Maths GCSE by ethnicity and free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 attainment data https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value"," Denominator ","Lower confidence interval","Upper confidence interval","Notes"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","18+1 (Major)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","34"," 49,595 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - British","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","34"," 46,438 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","40"," 213 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Irish Traveller","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","16"," 73 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Gypsy/Roma","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","9"," 330 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White - Any other","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","46"," 2,541 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","18+1 (Major)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","43"," 4,240 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - Caribbean","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","37"," 1,620 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Black - African","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","48"," 529 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - White and Asian","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","48"," 732 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed - Any other ","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","45"," 1,359 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","18+1 (Major)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","54"," 9,018 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Indian","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","62"," 1,042 ","NA","NA",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian - Pakistani","18+1 (Minor)","England","Country","E92000001","All pupils","Pupils eligible for free school meals","47"," 4,536 ","NA","NA",""
