"Title","Renting from a local authority or housing association, by ethnicity and area"
"Location","England"
"Time period","2014/15 to 2015/16"
"Data source","English Housing Survey 2014-15 and 2015-16"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Ethnicity","NS-SEC group","Income band","Region","Denominator","Numerator","Value"
"White British","All","All","North East"," 1,082,079 "," 246,001 ","23"
"White British","All","All","North West"," 2,726,087 "," 476,902 ","17"
"White British","All","All","Yorkshire and The Humber"," 1,993,215 "," 356,670 ","18"
"White British","All","All","East Midlands"," 1,716,315 "," 262,599 ","15"
"White British","All","All","West Midlands"," 1,973,387 "," 353,855 ","18"
"White British","All","All","East of England"," 2,179,257 "," 340,564 ","16"
"White British","All","All","London"," 1,721,643 "," 332,566 ","19"
"White British","All","All","South East"," 3,196,339 "," 425,686 ","13"
"White British","All","All","South West"," 2,220,374 "," 284,944 ","13"
"All other ethnic groups","All","All","North East"," 60,660 "," 16,381 ","27"
"All other ethnic groups","All","All","North West"," 332,876 "," 76,662 ","23"
"All other ethnic groups","All","All","Yorkshire and The Humber"," 251,038 "," 49,254 ","20"
"All other ethnic groups","All","All","East Midlands"," 223,700 "," 43,814 ","20"
"All other ethnic groups","All","All","West Midlands"," 355,356 "," 78,641 ","22"
"All other ethnic groups","All","All","East of England"," 316,271 "," 49,018 ","15"
"All other ethnic groups","All","All","London"," 1,615,633 "," 433,213 ","27"
"All other ethnic groups","All","All","South East"," 492,775 "," 56,845 ","12"
"All other ethnic groups","All","All","South West"," 160,054 "," 28,093 ","18"
