"Title","Patients reporting a positive experience of NHS dental services by ethnicity"
"Location","England"
"Time period","2011/12 to 2016/17"
"Data source","NHS Outcomes Framework"
"Data source link","https://indicators.hscic.gov.uk/webview/index.jsp?v=2&submode=ddi&study=http%3A%2F%2F192.168.229.23%3A80%2Fobj%2FfStudy%2FP01773&mode=documentation&top=yes"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","-"

"Time","Ethnicity",""
"2011/12","All","83.4"
"2011/12","Asian",""
"2011/12","Bangladeshi","76.5"
"2011/12","Chinese","71.1"
"2011/12","Indian","73.3"
"2011/12","Pakistani","75.0"
"2011/12","Asian other","74.8"
"2011/12","Black",""
"2011/12","Black African","77.7"
"2011/12","Black Caribbean","81.3"
"2011/12","Black other","77.8"
"2011/12","Mixed",""
"2011/12","Mixed White/Asian","76.1"
"2011/12","Mixed White/Black African","77.2"
"2011/12","Mixed White/Black Caribbean","77.6"
"2011/12","Mixed other","74.8"
"2011/12","White",""
"2011/12","White British","85.1"
"2011/12","White Irish","82.8"
"2011/12","White Gypsy/Traveller","77.4"
"2011/12","White other","73.6"
"2011/12","Other",""
"2011/12","Arab","72.0"
"2011/12","Any other","76.6"
"2011/12","Unknown","77.5"
"2012/13","All","84.0"
"2012/13","Asian",""
"2012/13","Bangladeshi","74.1"
"2012/13","Chinese","73.2"
"2012/13","Indian","74.9"
"2012/13","Pakistani","73.8"
"2012/13","Asian other","76.7"
"2012/13","Black",""
"2012/13","Black African","77.8"
"2012/13","Black Caribbean","80.6"
"2012/13","Black other","80.2"
"2012/13","Mixed",""
"2012/13","Mixed White/Asian","77.7"
"2012/13","Mixed White/Black African","73.0"
"2012/13","Mixed White/Black Caribbean","79.6"
"2012/13","Mixed other","79.1"
"2012/13","White",""
"2012/13","White British","85.6"
"2012/13","White Irish","83.6"
"2012/13","White Gypsy/Traveller","77.5"
"2012/13","White other","73.9"
"2012/13","Other",""
"2012/13","Arab","76.1"
"2012/13","Any other","77.9"
"2012/13","Unknown","78.1"
"2013/14","All","84.2"
"2013/14","Asian",""
"2013/14","Bangladeshi","77.4"
"2013/14","Chinese","74.6"
"2013/14","Indian","76.8"
"2013/14","Pakistani","76.8"
"2013/14","Asian other","75.6"
"2013/14","Black",""
"2013/14","Black African","78.9"
"2013/14","Black Caribbean","81.5"
"2013/14","Black other","78.9"
"2013/14","Mixed",""
"2013/14","Mixed White/Asian","82.1"
"2013/14","Mixed White/Black African","79.3"
"2013/14","Mixed White/Black Caribbean","84.1"
"2013/14","Mixed other","73.3"
"2013/14","White",""
"2013/14","White British","85.8"
"2013/14","White Irish","83.7"
"2013/14","White Gypsy/Traveller","64.6"
"2013/14","White other","74.8"
"2013/14","Other",""
"2013/14","Arab","73.6"
"2013/14","Any other","77.0"
"2013/14","Unknown","75.4"
"2014/15","All","84.6"
"2014/15","Asian",""
"2014/15","Bangladeshi","76.5"
"2014/15","Chinese","73.7"
"2014/15","Indian","75.3"
"2014/15","Pakistani","75.8"
"2014/15","Asian other","76.5"
"2014/15","Black",""
"2014/15","Black African","79.0"
"2014/15","Black Caribbean","85.3"
"2014/15","Black other","78.4"
"2014/15","Mixed",""
"2014/15","Mixed White/Asian","82.7"
"2014/15","Mixed White/Black African","79.4"
"2014/15","Mixed White/Black Caribbean","81.0"
"2014/15","Mixed other","79.5"
"2014/15","White",""
"2014/15","White British","86.4"
"2014/15","White Irish","85.2"
"2014/15","White Gypsy/Traveller","87.2"
"2014/15","White other","74.4"
"2014/15","Other",""
"2014/15","Arab","68.8"
"2014/15","Any other","76.6"
"2014/15","Unknown","78.5"
"2015/16","All","85.2"
"2015/16","Asian",""
"2015/16","Bangladeshi","78.0"
"2015/16","Chinese","73.7"
"2015/16","Indian","76.5"
"2015/16","Pakistani","76.0"
"2015/16","Asian other","78.2"
"2015/16","Black",""
"2015/16","Black African","81.5"
"2015/16","Black Caribbean","83.3"
"2015/16","Black other","80.9"
"2015/16","Mixed",""
"2015/16","Mixed White/Asian","80.0"
"2015/16","Mixed White/Black African","76.7"
"2015/16","Mixed White/Black Caribbean","80.9"
"2015/16","Mixed other","76.9"
"2015/16","White",""
"2015/16","White British","87.0"
"2015/16","White Irish","86.8"
"2015/16","White Gypsy/Traveller","69.5"
"2015/16","White other","74.6"
"2015/16","Other",""
"2015/16","Arab","74.4"
"2015/16","Any other","78.5"
"2015/16","Unknown","78.1"
"2016/17","All","85.2"
"2016/17","Asian",""
"2016/17","Bangladeshi","76.0"
"2016/17","Chinese","74.1"
"2016/17","Indian","78.1"
"2016/17","Pakistani","77.1"
"2016/17","Asian other","76.2"
"2016/17","Black",""
"2016/17","Black African","80.3"
"2016/17","Black Caribbean","84.5"
"2016/17","Black other","81.5"
"2016/17","Mixed",""
"2016/17","Mixed White/Asian","81.9"
"2016/17","Mixed White/Black African","83.5"
"2016/17","Mixed White/Black Caribbean","82.3"
"2016/17","Mixed other","79.0"
"2016/17","White",""
"2016/17","White British","87.1"
"2016/17","White Irish","87.2"
"2016/17","White Gypsy/Traveller","71.2"
"2016/17","White other","75.0"
"2016/17","Other",""
"2016/17","Arab","68.1"
"2016/17","Any other","77.2"
"2016/17","Unknown","80.7"
