"Title","Patient satisfaction with NHS dental services"
"Location","England"
"Time period","2011/12 to 2016/17"
"Data source","NHS Digital"
"Data source link","https://indicators.hscic.gov.uk/webview/index.jsp?v=2&submode=ddi&study=http%3A%2F%2F192.168.229.23%3A80%2Fobj%2FfStudy%2FP01773&mode=documentation&top=yes"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-04"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Value_type","Denominator","Numerator","Lower CI","Upper CI","Unweighted Respondents","Note"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","All","ONS 18+1","England","85.2","%","452,377.80","385,458.20","85.1","85.3","447,518",""
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","All","ONS 18+1","England","85.2","%","233,593.70","199,030.00","85","85.4","229,877",""
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","All","ONS 18+1","England","84.6","%","249,922.90","211,425.00","84.4","84.8","244,048",""
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","All","ONS 18+1","England","84.2","%","263,567.50","221,899.30","84","84.4","",""
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","All","ONS 18+1","England","84","%","284,180.60","238,667.00","83.8","84.2","",""
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","All","ONS 18+1","England","83.4","%","282,434.90","235,635.80","83.2","83.6","",""
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","Black African","ONS 18+1","England","80.3","%","6,229.20","5,002.20","","","5,727","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","Asian other","ONS 18+1","England","76.2","%","6,548.80","4,993.40","","","6,175","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","Black other","ONS 18+1","England","81.5","%","1,993.80","1,624.20","","","1,984","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","Other","ONS 18+1","England","77.2","%","10,398.90","8,028.30","","","10,044","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","Mixed other","ONS 18+1","England","79","%","1,619.50","1,279.30","","","1,260","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","White other","ONS 18+1","England","75","%","22,541.70","16,895.80","","","18,272","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","Arab","ONS 18+1","England","68.1","%","1,306.50","890","","","1,127","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","Bangladeshi","ONS 18+1","England","76","%","3,061.60","2,325.50","","","2,449","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","Black Caribbean","ONS 18+1","England","84.5","%","3,906.00","3,300.60","","","4,336","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","Chinese","ONS 18+1","England","74.1","%","2,719.90","2,015.90","","","2,234","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","White British","ONS 18+1","England","87.1","%","362,046.40","315,167.60","","","363,333","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","White Gypsy or Irish Traveller","ONS 18+1","England","71.2","%","148.4","105.6","","","110","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","Indian","ONS 18+1","England","78.1","%","10,154.30","7,934.50","","","11,094","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","White Irish","ONS 18+1","England","87.2","%","3,324.20","2,898.90","","","4,016","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","Pakistani","ONS 18+1","England","77.1","%","8,116.80","6,257.10","","","7,807","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","Mixed White/Asian","ONS 18+1","England","81.9","%","1,540.00","1,261.70","","","1,129","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","Mixed White/Black African ","ONS 18+1","England","83.5","%","816.4","682.1","","","682","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","Mixed White/Black Caribbean","ONS 18+1","England","82.3","%","1,732.20","1,426.30","","","1,258","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","Unknown","ONS 18+1","England","80.7","%","4,173.20","3,369.30","","","4,481","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","Black African","ONS 18+1","England","81.5","%","3,114.30","2,537.90","","","2,973","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","Asian other","ONS 18+1","England","78.2","%","3,033.80","2,371.30","","","3,012","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","Black other","ONS 18+1","England","80.9","%","868.3","702.6","","","912","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","Other","ONS 18+1","England","78.5","%","4,511.60","3,541.50","","","4,441","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","Mixed other","ONS 18+1","England","76.9","%","705.6","542.7","","","597","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","White other","ONS 18+1","England","74.6","%","11,584.50","8,639.10","","","9,523","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","Arab","ONS 18+1","England","74.4","%","648.7","482.9","","","584","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","Bangladeshi","ONS 18+1","England","78","%","1,484.50","1,158.30","","","1,234","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","Black Caribbean","ONS 18+1","England","83.3","%","1,869.40","1,556.70","","","2,176","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","Chinese","ONS 18+1","England","73.7","%","1,387.80","1,023.30","","","1,193","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","White British","ONS 18+1","England","87","%","188,435.80","164,011.20","","","186,884","No figures to report for upper and lower bounds"
