"Title","Patients reporting a positive experience of NHS dental services by ethnicity"
"Location","England"
"Time period","2011/12 to 2016/17"
"Data source","NHS Outcomes Framework"
"Data source link","https://indicators.hscic.gov.uk/webview/index.jsp?v=2&submode=ddi&study=http%3A%2F%2F192.168.229.23%3A80%2Fobj%2FfStudy%2FP01773&mode=documentation&top=yes"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","-"

"","2011/12","2012/13","2013/14","2014/15","2015/16","2016/17"
"Ethnicity","","","","","",""
"All","83.4","84.0","84.2","84.6","85.2","85.2"
"Asian","","","","","",""
"Bangladeshi","76.5","74.1","77.4","76.5","78.0","76.0"
"Chinese","71.1","73.2","74.6","73.7","73.7","74.1"
"Indian","73.3","74.9","76.8","75.3","76.5","78.1"
"Pakistani","75.0","73.8","76.8","75.8","76.0","77.1"
"Asian other","74.8","76.7","75.6","76.5","78.2","76.2"
"Black","","","","","",""
"Black African","77.7","77.8","78.9","79.0","81.5","80.3"
"Black Caribbean","81.3","80.6","81.5","85.3","83.3","84.5"
"Black other","77.8","80.2","78.9","78.4","80.9","81.5"
"Mixed","","","","","",""
"Mixed White/Asian","76.1","77.7","82.1","82.7","80.0","81.9"
"Mixed White/Black African","77.2","73.0","79.3","79.4","76.7","83.5"
"Mixed White/Black Caribbean","77.6","79.6","84.1","81.0","80.9","82.3"
"Mixed other","74.8","79.1","73.3","79.5","76.9","79.0"
"White","","","","","",""
"White British","85.1","85.6","85.8","86.4","87.0","87.1"
"White Irish","82.8","83.6","83.7","85.2","86.8","87.2"
"White Gypsy/Traveller","77.4","77.5","64.6","87.2","69.5","71.2"
"White other","73.6","73.9","74.8","74.4","74.6","75.0"
"Other","","","","","",""
"Arab","72.0","76.1","73.6","68.8","74.4","68.1"
"Any other","76.6","77.9","77.0","76.6","78.5","77.2"
"Unknown","77.5","78.1","75.4","78.5","78.1","80.7"
