"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Value"
"Number of self-harm incidents per 1000","2012","Year","White","ONS 5+1 2001","325"
"Number of self-harm incidents per 1000","2012","Year","Asian","ONS 5+1 2001","183"
"Number of self-harm incidents per 1000","2012","Year","Black","ONS 5+1 2001","113"
"Number of self-harm incidents per 1000","2012","Year","Mixed","ONS 5+1 2001","39"
"Number of self-harm incidents per 1000","2012","Year","Other","ONS 5+1 2001","159"
"Number of self-harm incidents per 1000","2013","Year","White","ONS 5+1 2001","326"
"Number of self-harm incidents per 1000","2013","Year","Asian","ONS 5+1 2001","196"
"Number of self-harm incidents per 1000","2013","Year","Black","ONS 5+1 2001","120"
"Number of self-harm incidents per 1000","2013","Year","Mixed","ONS 5+1 2001","59"
"Number of self-harm incidents per 1000","2013","Year","Other","ONS 5+1 2001","213"
"Number of self-harm incidents per 1000","2014","Year","White","ONS 5+1 2001","363"
"Number of self-harm incidents per 1000","2014","Year","Asian","ONS 5+1 2001","160"
"Number of self-harm incidents per 1000","2014","Year","Black","ONS 5+1 2001","116"
"Number of self-harm incidents per 1000","2014","Year","Mixed","ONS 5+1 2001","75"
"Number of self-harm incidents per 1000","2014","Year","Other","ONS 5+1 2001","185"
"Number of self-harm incidents per 1000","2015","Year","White","ONS 5+1 2001","450"
"Number of self-harm incidents per 1000","2015","Year","Asian","ONS 5+1 2001","243"
"Number of self-harm incidents per 1000","2015","Year","Black","ONS 5+1 2001","124"
"Number of self-harm incidents per 1000","2015","Year","Mixed","ONS 5+1 2001","91"
"Number of self-harm incidents per 1000","2015","Year","Other","ONS 5+1 2001","225"
"Number of self-harm incidents per 1000","2016","Year","White","ONS 5+1 2001","551"
"Number of self-harm incidents per 1000","2016","Year","Asian","ONS 5+1 2001","277"
"Number of self-harm incidents per 1000","2016","Year","Black","ONS 5+1 2001","143"
"Number of self-harm incidents per 1000","2016","Year","Mixed","ONS 5+1 2001","134"
"Number of self-harm incidents per 1000","2016","Year","Other","ONS 5+1 2001","347"
