"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","FSM","Value","Denominator"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","Non-FSM","51","373168"
"Average Attainment 8 score per pupil","2016","Academic year","White - British","DFE","Non-FSM","52","348878"
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish","DFE","Non-FSM","57","1561"
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish Traveller","DFE","Non-FSM","35","49"
"Average Attainment 8 score per pupil","2016","Academic year","White - Gypsy/Roma","DFE","Non-FSM","20","777"
"Average Attainment 8 score per pupil","2016","Academic year","White - Any other","DFE","Non-FSM","50","21903"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","DFE","Non-FSM","53","18628"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - Caribbean","DFE","Non-FSM","49","5540"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - African","DFE","Non-FSM","52","2158"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Asian","DFE","Non-FSM","56","4357"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - Any other ","DFE","Non-FSM","54","6573"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","DFE","Non-FSM","54","42200"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Indian","DFE","Non-FSM","58","13004"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Pakistani","DFE","Non-FSM","50","15898"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Bangladeshi","DFE","Non-FSM","53","5858"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Any other","DFE","Non-FSM","56","7440"
"Average Attainment 8 score per pupil","2016","Academic year","Black","DFE","Non-FSM","50","21380"
"Average Attainment 8 score per pupil","2016","Academic year","Black - Caribbean","DFE","Non-FSM","47","5527"
"Average Attainment 8 score per pupil","2016","Academic year","Black - African","DFE","Non-FSM","52","13263"
"Average Attainment 8 score per pupil","2016","Academic year","Black - Any other ","DFE","Non-FSM","48","2590"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","DFE","Non-FSM","63","1896"
"Average Attainment 8 score per pupil","2016","Academic year","Other","DFE","Non-FSM","52","6095"
"Average Attainment 8 score per pupil","2016","Academic year","Unclassified","DFE","Non-FSM","46","4794"
"Average Attainment 8 score per pupil","2016","Academic year","All - England","DFE","Non-FSM","52","468161"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","FSM","37","49595"
"Average Attainment 8 score per pupil","2016","Academic year","White - British","DFE","FSM","36","46438"
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish","DFE","FSM","40","213"
"Average Attainment 8 score per pupil","2016","Academic year","White - Irish Traveller","DFE","FSM","26","73"
"Average Attainment 8 score per pupil","2016","Academic year","White - Gypsy/Roma","DFE","FSM","21","330"
"Average Attainment 8 score per pupil","2016","Academic year","White - Any other","DFE","FSM","43","2541"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","DFE","FSM","41","4240"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - Caribbean","DFE","FSM","39","1620"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Black - African","DFE","FSM","44","529"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - White and Asian","DFE","FSM","43","732"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed - Any other ","DFE","FSM","42","1359"
"Average Attainment 8 score per pupil","2016","Academic year","Asian","DFE","FSM","47","9018"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Indian","DFE","FSM","49","1042"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Pakistani","DFE","FSM","44","4536"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Bangladeshi","DFE","FSM","50","2461"
"Average Attainment 8 score per pupil","2016","Academic year","Asian - Any other","DFE","FSM","48","979"
"Average Attainment 8 score per pupil","2016","Academic year","Black","DFE","FSM","44","6544"
"Average Attainment 8 score per pupil","2016","Academic year","Black - Caribbean","DFE","FSM","40","1689"
"Average Attainment 8 score per pupil","2016","Academic year","Black - African","DFE","FSM","46","4086"
"Average Attainment 8 score per pupil","2016","Academic year","Black - Any other ","DFE","FSM","42","769"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","DFE","FSM","59","130"
"Average Attainment 8 score per pupil","2016","Academic year","Other","DFE","FSM","46","2024"
"Average Attainment 8 score per pupil","2016","Academic year","Unclassified","DFE","FSM","37","977"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","FSM","39","72528"
