"Title","Violence involving prisoners by ethnicity"
"Location","England and Wales"
"Time period","2015"
"Data source","National Offender Management Service (NOMS) Offender Equalities Statistics Bulletin - supplementary table 4.2 https://www.gov.uk/government/statistics/noms-annual-offender-equalities-report-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Involvement Type","Year","Ethnic Group","Number of People","Prisoner assailants, victims and fighters per 1,000 Prisoners"
"Assailant","2015","White","8026","127"
"Assailant","2015","Asian or Asian British","810","117.9"
"Assailant","2015","Black or Black British","3017","285.3"
"Assailant","2015","Mixed Ethnic Groups","1177","335.5"
"Assailant","2015","Chinese or Other ethnic group ","160","163.1"
"Fighter","2015","White","7905","125.1"
"Fighter","2015","Asian or Asian British","858","124.9"
"Fighter","2015","Black or Black British","2817","266.4"
"Fighter","2015","Mixed Ethnic Groups","980","279.3"
"Fighter","2015","Chinese or Other ethnic group ","191","194.7"
"Victim","2015","White","6761","107"
"Victim","2015","Asian or Asian British","769","111.9"
"Victim","2015","Black or Black British","1335","126.3"
"Victim","2015","Mixed Ethnic Groups","475","135.4"
"Victim","2015","Chinese or Other ethnic group ","128","130.5"
