"Standard Ethnicity","Age group","%","No. of people (thousands)"
"All","16-24","99","7,033"
"All","25-34","99","8,809"
"All","35-44","98","8,110"
"All","45-54","96","8,800"
"All","55-64","90","6,882"
"All","65-74","78","5,028"
"All","75+","41","2,050"
"Asian","16-24","99","604"
"Asian","25-34","99","799"
"Asian","35-44","97","762"
"Asian","45-54","93","490"
"Asian","55-64","73","229"
"Asian","65-74","62","95"
"Asian","75+","29","26"
"Black","16-24","99","291"
"Black","25-34","97","275"
"Black","35-44","98","312"
"Black","45-54","97","315"
"Black","55-64","88","150"
"Black","65-74","56","28"
"Black","75+","31","24"
"White","16-24","99","5,792"
"White","25-34","99","7,324"
"White","35-44","99","6,711"
"White","45-54","96","7,802"
"White","55-64","91","6,400"
"White","65-74","78","4,869"
"White","75+","41","1,987"
"Other inc. Mixed","16-24","99","346"
"Other inc. Mixed","25-34","98","412"
"Other inc. Mixed","35-44","99","325"
"Other inc. Mixed","45-54","95","194"
"Other inc. Mixed","55-64","89","102"
"Other inc. Mixed","65-74","?","?"
"Other inc. Mixed","75+","?","?"
