"Title","Conviction Ratio by ethnicity and age group"
"Location","England and Wales"
"Time period","2009 to 2016"
"Data source","Criminal Justice Statistics"
"Data source link","https://www.gov.uk/government/statistics/criminal-justice-system-statistics-quarterly-december-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","18 May 2017"

"Year","Ethnicity","Age group","%","Prosecutions","Convictions"
"2009","Asian","Adults","72","16,856","12,130"
"2009","Black","Adults","73","27,054","19,742"
"2009","Chinese and other","Adults","74","4,687","3,488"
"2009","Mixed","Adults","71","8,825","6,247"
"2009","Not stated","Adults","92","46,969","43,271"
"2009","White","Adults","79","253,551","199,580"
"2009","Asian","Juveniles","70","2,315","1,629"
"2009","Black","Juveniles","71","5,399","3,839"
"2009","Chinese and other","Juveniles","70","447","311"
"2009","Mixed","Juveniles","72","2,767","1,990"
"2009","Not stated","Juveniles","82","5,260","4,317"
"2009","White","Juveniles","79","40,529","31,905"
"2010","Asian","Adults","77","18,165","14,005"
"2010","Black","Adults","78","28,599","22,183"
"2010","Chinese and other","Adults","83","4,817","3,985"
"2010","Mixed","Adults","76","10,000","7,626"
"2010","Not stated","Adults","77","41,589","32,129"
"2010","White","Adults","82","279,130","228,389"
"2010","Asian","Juveniles","71","2,392","1,709"
"2010","Black","Juveniles","69","6,126","4,220"
"2010","Chinese and other","Juveniles","73","418","303"
"2010","Mixed","Juveniles","72","2,817","2,019"
"2010","Not stated","Juveniles","79","4,011","3,182"
"2010","White","Juveniles","77","38,868","30,082"
"2011","Asian","Adults","79","17,862","14,067"
"2011","Black","Adults","80","27,744","22,253"
"2011","Chinese and other","Adults","82","4,444","3,646"
"2011","Mixed","Adults","78","9,815","7,699"
"2011","Not stated","Adults","74","41,468","30,581"
"2011","White","Adults","84","273,075","227,894"
"2011","Asian","Juveniles","73","2,302","1,683"
"2011","Black","Juveniles","71","6,082","4,319"
"2011","Chinese and other","Juveniles","72","452","323"
"2011","Mixed","Juveniles","74","2,766","2,043"
"2011","Not stated","Juveniles","76","4,248","3,211"
"2011","White","Juveniles","78","32,600","25,333"
"2012","Asian","Adults","79","15,916","12,524"
"2012","Black","Adults","80","24,586","19,747"
"2012","Chinese and other","Adults","83","3,811","3,180"
"2012","Mixed","Adults","80","8,757","6,998"
"2012","Not stated","Adults","74","41,650","30,718"
"2012","White","Adults","85","244,101","206,851"
"2012","Asian","Juveniles","75","1,829","1,371"
"2012","Black","Juveniles","72","4,567","3,304"
"2012","Chinese and other","Juveniles","76","382","290"
"2012","Mixed","Juveniles","72","2,082","1,499"
"2012","Not stated","Juveniles","77","3,983","3,054"
"2012","White","Juveniles","77","24,200","18,575"
"2013","Asian","Adults","74","16,450","12,133"
"2013","Black","Adults","77","25,035","19,267"
"2013","Chinese and other","Adults","83","3,869","3,204"
"2013","Mixed","Adults","77","8,899","6,859"
"2013","Not stated","Adults","74","44,024","32,370"
"2013","White","Adults","82","242,282","198,893"
"2013","Asian","Juveniles","70","1,555","1,082"
"2013","Black","Juveniles","70","3,693","2,591"
"2013","Chinese and other","Juveniles","71","287","203"
"2013","Mixed","Juveniles","68","1,643","1,120"
"2013","Not stated","Juveniles","76","3,183","2,411"
"2013","White","Juveniles","74","18,575","13,674"
"2014","Asian","Adults","75","15,570","11,620"
"2014","Black","Adults","78","24,016","18,656"
"2014","Chinese and other","Adults","81","3,389","2,741"
"2014","Mixed","Adults","77","8,204","6,321"
"2014","Not stated","Adults","75","46,985","35,434"
"2014","White","Adults","82","231,342","190,241"
"2014","Asian","Juveniles","70","1,166","817"
"2014","Black","Juveniles","69","3,029","2,099"
"2014","Chinese and other","Juveniles","65","238","154"
"2014","Mixed","Juveniles","69","1,426","978"
"2014","Not stated","Juveniles","73","2,905","2,129"
"2014","White","Juveniles","72","15,867","11,378"
"2015","Asian","Adults","78","14,355","11,192"
"2015","Black","Adults","81","22,163","17,904"
"2015","Chinese and other","Adults","85","3,165","2,687"
"2015","Mixed","Adults","79","7,885","6,226"
"2015","Not stated","Adults","79","48,921","38,510"
"2015","White","Adults","85","204,301","173,808"
"2015","Asian","Juveniles","73","1,071","780"
"2015","Black","Juveniles","70","2,842","1,999"
"2015","Chinese and other","Juveniles","78","234","183"
"2015","Mixed","Juveniles","68","1,311","895"
"2015","Not stated","Juveniles","73","3,084","2,253"
"2015","White","Juveniles","72","12,997","9,375"
"2016","Asian","Adults","81","13,715","11,110"
"2016","Black","Adults","82","22,106","18,145"
"2016","Chinese and other","Adults","82","2,859","2,346"
"2016","Mixed","Adults","83","6,623","5,476"
"2016","Not stated","Adults","81","52,502","42,731"
"2016","White","Adults","87","175,188","152,066"
"2016","Asian","Juveniles","73","1,001","735"
"2016","Black","Juveniles","69","2,894","2,003"
"2016","Chinese and other","Juveniles","71","218","155"
"2016","Mixed","Juveniles","71","992","708"
"2016","Not stated","Juveniles","74","3,412","2,521"
"2016","White","Juveniles","72","10,215","7,383"
