"Title","Conviction Ratio by ethnicity and gender"
"Location","England and Wales"
"Time period","2009 to 2016"
"Data source","Criminal Justice Statistics"
"Data source link","https://www.gov.uk/government/statistics/criminal-justice-system-statistics-quarterly-december-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","18 May 2017"

"Year","Ethnicity","Sex","%","Prosections","Convictions"
"2009","Asian","Female","72","1,174","840"
"2009","Black","Female","76","3,888","2,953"
"2009","Chinese and other","Female","77","729","564"
"2009","Mixed","Female","70","1,738","1,221"
"2009","Not stated","Female","84","10,324","8,626"
"2009","White","Female","80","43,722","34,801"
"2009","Asian","Male","72","17,964","12,905"
"2009","Black","Male","72","28,463","20,577"
"2009","Chinese and other","Male","74","4,387","3,225"
"2009","Mixed","Male","71","9,832","7,001"
"2009","Not stated","Male","96","39,112","37,434"
"2009","White","Male","79","249,942","196,446"
"2009","Asian","Not Known","42","33","14"
"2009","Black","Not Known","50","102","51"
"2009","Chinese and other","Not Known","56","18","10"
"2009","Mixed","Not Known","68","22","15"
"2009","Not stated","Not Known","55","2,793","1,528"
"2009","White","Not Known","57","416","238"
"2010","Asian","Female","73","1,301","945"
"2010","Black","Female","74","4,201","3,127"
"2010","Chinese and other","Female","78","773","602"
"2010","Mixed","Female","75","1,856","1,392"
"2010","Not stated","Female","77","9,408","7,243"
"2010","White","Female","81","46,948","37,805"
"2010","Asian","Male","77","19,221","14,755"
"2010","Black","Male","76","30,438","23,236"
"2010","Chinese and other","Male","83","4,453","3,682"
"2010","Mixed","Male","75","10,942","8,242"
"2010","Not stated","Male","79","33,278","26,364"
"2010","White","Male","81","270,756","220,505"
"2010","Asian","Not Known","40","35","14"
"2010","Black","Not Known","47","86","40"
"2010","Chinese and other","Not Known","44","9","4"
"2010","Mixed","Not Known","58","19","11"
"2010","Not stated","Not Known","59","2,914","1,704"
"2010","White","Not Known","55","294","161"
"2011","Asian","Female","72","1,268","906"
"2011","Black","Female","80","3,470","2,790"
"2011","Chinese and other","Female","82","636","523"
"2011","Mixed","Female","76","1,795","1,359"
"2011","Not stated","Female","75","8,973","6,762"
"2011","White","Female","82","44,076","36,133"
"2011","Asian","Male","79","18,861","14,825"
"2011","Black","Male","78","30,294","23,746"
"2011","Chinese and other","Male","81","4,247","3,438"
"2011","Mixed","Male","78","10,771","8,376"
"2011","Not stated","Male","75","33,096","24,953"
"2011","White","Male","83","261,275","216,884"
"2011","Asian","Not Known","54","35","19"
"2011","Black","Not Known","58","62","36"
"2011","Chinese and other","Not Known","62","13","8"
"2011","Mixed","Not Known","47","15","7"
"2011","Not stated","Not Known","57","3,647","2,077"
"2011","White","Not Known","65","324","210"
"2012","Asian","Female","75","1,016","759"
"2012","Black","Female","80","2,817","2,242"
"2012","Chinese and other","Female","86","499","427"
"2012","Mixed","Female","77","1,364","1,050"
"2012","Not stated","Female","73","8,383","6,149"
"2012","White","Female","84","38,350","32,064"
"2012","Asian","Male","79","16,672","13,112"
"2012","Black","Male","79","26,263","20,769"
"2012","Chinese and other","Male","83","3,675","3,034"
"2012","Mixed","Male","79","9,450","7,431"
"2012","Not stated","Male","76","33,357","25,401"
"2012","White","Male","84","229,514","193,103"
"2012","Asian","Not Known","42","57","24"
"2012","Black","Not Known","55","73","40"
"2012","Chinese and other","Not Known","47","19","9"
"2012","Mixed","Not Known","64","25","16"
"2012","Not stated","Not Known","57","3,893","2,222"
"2012","White","Not Known","59","437","259"
"2013","Asian","Female","68","1,065","727"
"2013","Black","Female","75","2,633","1,965"
"2013","Chinese and other","Female","83","519","429"
"2013","Mixed","Female","75","1,294","970"
"2013","Not stated","Female","74","8,922","6,635"
"2013","White","Female","81","37,685","30,367"
"2013","Asian","Male","74","16,838","12,451"
"2013","Black","Male","76","26,003","19,855"
"2013","Chinese and other","Male","82","3,620","2,969"
"2013","Mixed","Male","76","9,231","7,001"
"2013","Not stated","Male","76","33,790","25,693"
"2013","White","Male","82","222,618","181,883"
"2013","Asian","Not Known","36","102","37"
"2013","Black","Not Known","41","92","38"
"2013","Chinese and other","Not Known","53","17","9"
"2013","Mixed","Not Known","47","17","8"
"2013","Not stated","Not Known","55","4,495","2,453"
