"Title","Time spent living in current home by ethnicity and income"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"","White British","All other ethnic groups"
"Weekly income","Time","Time"
"Up to £99","8 years 2 months","4 years 11 months"
"£100 to £199","16 years 1 months","9 years 2 months"
"£200 to £299","19 years 3 months","10 years 6 months"
"£300 to £399","17 years 4 months","8 years 5 months"
"£400 to £499","16 years 7 months","9 years 3 months"
"£500 to £599","15 years 2 months","7 years 6 months"
"£600 to £699","15 years 2 months","8 years 5 months"
"£700 to £799","14 years 3 months","7 years 9 months"
"£800 to £899","13 years 4 months","8 years 0 months"
"£900 to £999","13 years 7 months","8 years 1 months"
"£1000 and above","12 years 1 months","8 years 7 months"
