"Title","Phonics attainments for children aged 5 to 7 by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Phonics screening check and key stage 1 assessments https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Ethnicity type","Gender","Value","End of Year 2"
"All","DFE","All","81","91"
"White","DFE","All","80","91"
"White - British","DFE","All","81","92"
"White - Irish","DFE","All","81","91"
"White - Traveller of Irish Heritage","DFE","All","41","60"
"White - Gypsy/Roma","DFE","All","37","60"
"White - Any other","DFE","All","78","89"
"Mixed","DFE","All","82","92"
"Mixed - White and Black Caribbean","DFE","All","78","90"
"Mixed - White and Black African","DFE","All","82","92"
"Mixed - White and Asian","DFE","All","85","94"
"Mixed - Any other","DFE","All","83","92"
"Asian","DFE","All","84","93"
"Asian - Indian","DFE","All","89","95"
"Asian - Pakistani","DFE","All","81","92"
"Asian - Bangladeshi","DFE","All","82","92"
"Asian - Any other","DFE","All","85","93"
"Black","DFE","All","82","91"
"Black - Caribbean","DFE","All","79","90"
"Black - African","DFE","All","84","92"
"Black - Any other","DFE","All","80","89"
"Chinese","DFE","All","88","94"
"Other","DFE","All","79","89"
"Unclassified","DFE","All","58","73"
