"Title","Phonics attainments for children aged 5 to 7 by ethnicity, gender and free school meals (FSM)"
"Location","England"
"Time period","2015/2016"
"Data source","Phonics screening check and key stage 1 assessments https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measurement","Ethnicity","Ethnicity type","Gender","FSM","Value","New grouping"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","All - England","ONS 18+1","Boys","Non-FSM","79","Boys all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White","ONS 18+1","Boys","Non-FSM","79","Boys all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - British","ONS 18+1","Boys","Non-FSM","80","Boys all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Irish","ONS 18+1","Boys","Non-FSM","82","Boys all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Gypsy or Irish Traveller","ONS 18+1","Boys","Non-FSM","40","Boys all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Gypsy/Roma","ONS 18+1","Boys","Non-FSM","33","Boys all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Any other","ONS 18+1","Boys","Non-FSM","75","Boys all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed","ONS 18+1","Boys","Non-FSM","81","Boys all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - White and Black - Caribbean","ONS 18+1","Boys","Non-FSM","77","Boys all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - White and Black - African","ONS 18+1","Boys","Non-FSM","80","Boys all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - White and Asian","ONS 18+1","Boys","Non-FSM","85","Boys all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - Any other ","ONS 18+1","Boys","Non-FSM","82","Boys all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian","ONS 18+1","Boys","Non-FSM","82","Boys all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Indian","ONS 18+1","Boys","Non-FSM","87","Boys all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Pakistani","ONS 18+1","Boys","Non-FSM","78","Boys all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Bangladeshi","ONS 18+1","Boys","Non-FSM","79","Boys all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Any other","ONS 18+1","Boys","Non-FSM","82","Boys all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black","ONS 18+1","Boys","Non-FSM","80","Boys all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black - Caribbean","ONS 18+1","Boys","Non-FSM","77","Boys all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black - African","ONS 18+1","Boys","Non-FSM","81","Boys all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black - Any other ","ONS 18+1","Boys","Non-FSM","77","Boys all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Chinese","ONS 18+1","Boys","Non-FSM","88","Boys all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Other - Any other","ONS 18+1","Boys","Non-FSM","77","Boys all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","All - England","ONS 18+1","Boys","FSM","64","Boys eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White","ONS 18+1","Boys","FSM","60","Boys eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - British","ONS 18+1","Boys","FSM","60","Boys eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Irish","ONS 18+1","Boys","FSM","57","Boys eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Gypsy or Irish Traveller","ONS 18+1","Boys","FSM","30","Boys eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Gypsy/Roma","ONS 18+1","Boys","FSM","31","Boys eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Any other","ONS 18+1","Boys","FSM","65","Boys eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed","ONS 18+1","Boys","FSM","67","Boys eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - White and Black - Caribbean","ONS 18+1","Boys","FSM","65","Boys eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - White and Black - African","ONS 18+1","Boys","FSM","71","Boys eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - White and Asian","ONS 18+1","Boys","FSM","64","Boys eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - Any other ","ONS 18+1","Boys","FSM","69","Boys eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian","ONS 18+1","Boys","FSM","74","Boys eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Indian","ONS 18+1","Boys","FSM","79","Boys eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Pakistani","ONS 18+1","Boys","FSM","72","Boys eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Bangladeshi","ONS 18+1","Boys","FSM","74","Boys eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Any other","ONS 18+1","Boys","FSM","78","Boys eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black","ONS 18+1","Boys","FSM","73","Boys eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black - Caribbean","ONS 18+1","Boys","FSM","67","Boys eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black - African","ONS 18+1","Boys","FSM","76","Boys eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black - Any other ","ONS 18+1","Boys","FSM","69","Boys eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Chinese","ONS 18+1","Boys","FSM","71","Boys eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Other - Any other","ONS 18+1","Boys","FSM","74","Boys eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","All - England","ONS 18+1","Girls","Non-FSM","86","Girls all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White","ONS 18+1","Girls","Non-FSM","86","Girls all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - British","ONS 18+1","Girls","Non-FSM","87","Girls all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Irish","ONS 18+1","Girls","Non-FSM","86","Girls all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Gypsy or Irish Traveller","ONS 18+1","Girls","Non-FSM","53","Girls all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Gypsy/Roma","ONS 18+1","Girls","Non-FSM","40","Girls all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Any other","ONS 18+1","Girls","Non-FSM","82","Girls all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed","ONS 18+1","Girls","Non-FSM","88","Girls all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - White and Black - Caribbean","ONS 18+1","Girls","Non-FSM","86","Girls all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - White and Black - African","ONS 18+1","Girls","Non-FSM","86","Girls all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - White and Asian","ONS 18+1","Girls","Non-FSM","90","Girls all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - Any other ","ONS 18+1","Girls","Non-FSM","88","Girls all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian","ONS 18+1","Girls","Non-FSM","88","Girls all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Indian","ONS 18+1","Girls","Non-FSM","92","Girls all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Pakistani","ONS 18+1","Girls","Non-FSM","85","Girls all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Bangladeshi","ONS 18+1","Girls","Non-FSM","87","Girls all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Any other","ONS 18+1","Girls","Non-FSM","88","Girls all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black","ONS 18+1","Girls","Non-FSM","87","Girls all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black - Caribbean","ONS 18+1","Girls","Non-FSM","86","Girls all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black - African","ONS 18+1","Girls","Non-FSM","88","Girls all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black - Any other ","ONS 18+1","Girls","Non-FSM","86","Girls all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Chinese","ONS 18+1","Girls","Non-FSM","90","Girls all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Other - Any other","ONS 18+1","Girls","Non-FSM","83","Girls all other"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","All - England","ONS 18+1","Girls","FSM","74","Girls eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White","ONS 18+1","Girls","FSM","71","Girls eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - British","ONS 18+1","Girls","FSM","72","Girls eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Irish","ONS 18+1","Girls","FSM","62","Girls eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Gypsy or Irish Traveller","ONS 18+1","Girls","FSM","41","Girls eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Gypsy/Roma","ONS 18+1","Girls","FSM","44","Girls eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Any other","ONS 18+1","Girls","FSM","74","Girls eligible for free school meals"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed","ONS 18+1","Girls","FSM","78","Girls eligible for free school meals"
