"Title","Phonics attainments for children aged 5 to 7 by ethnicity, gender and free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Phonics screening check and key stage 1 assessments https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measurement","Ethnicity","Ethnicity type","Gender","FSM","Value","New grouping"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","All - England","DFE","Boys","Non-FSM","79","Non-FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White","DFE","Boys","Non-FSM","79","Non-FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - British","DFE","Boys","Non-FSM","80","Non-FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Irish","DFE","Boys","Non-FSM","82","Non-FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Irish Traveller","DFE","Boys","Non-FSM","40","Non-FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Gypsy/Roma","DFE","Boys","Non-FSM","33","Non-FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White - Any other","DFE","Boys","Non-FSM","75","Non-FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed","DFE","Boys","Non-FSM","81","Non-FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - White and Black - Caribbean","DFE","Boys","Non-FSM","77","Non-FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - White and Black - African","DFE","Boys","Non-FSM","80","Non-FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - White and Asian","DFE","Boys","Non-FSM","85","Non-FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Mixed - Any other ","DFE","Boys","Non-FSM","82","Non-FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian","DFE","Boys","Non-FSM","82","Non-FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Indian","DFE","Boys","Non-FSM","87","Non-FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Pakistani","DFE","Boys","Non-FSM","78","Non-FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Bangladeshi","DFE","Boys","Non-FSM","79","Non-FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Asian - Any other","DFE","Boys","Non-FSM","82","Non-FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black","DFE","Boys","Non-FSM","80","Non-FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black - Caribbean","DFE","Boys","Non-FSM","77","Non-FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black - African","DFE","Boys","Non-FSM","81","Non-FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Black - Any other ","DFE","Boys","Non-FSM","77","Non-FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Chinese","DFE","Boys","Non-FSM","88","Non-FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","Other","DFE","Boys","Non-FSM","77","Non-FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","All - England","DFE","Boys","FSM","64","FSM boys"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","White","DFE","Boys","FSM","60","FSM boys"
