"Title","Phonics attainments for children aged 5 to 7 by ethnicity and free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Phonics screening check and key stage 1 assessments https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","time_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","FSM","FSM_type","Value"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","All","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","69"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","White","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","66"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","White - British","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","66"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","White - Irish","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","60"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","White - Traveller of Irish Heritage","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","35"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","White - Gypsy/Roma","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","37"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","White - Any other","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","69"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Mixed","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","73"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Mixed - White and Black Caribbean","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","70"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Mixed - White and Black African","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","77"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Mixed - White and Asian","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","72"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Mixed - Any other","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","73"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Asian","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","78"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Asian - Indian","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","81"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Asian - Pakistani","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","76"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Asian - Bangladeshi","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","78"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Asian - Any other","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","80"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Black","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","78"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Black - Caribbean","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","74"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Black - African","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","80"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Black - Any other","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","74"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Chinese","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","77"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Other","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","76"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","White","DFE","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","82"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","White - British","DFE","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","83"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","White - Irish","DFE","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","84"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","White - Traveller of Irish Heritage","DFE","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","47"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","White - Gypsy/Roma","DFE","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","37"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","White - Any other","DFE","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","79"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Mixed","DFE","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","85"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Mixed - White and Black Caribbean","DFE","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","81"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Mixed - White and Black African","DFE","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","83"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Mixed - White and Asian","DFE","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","87"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Mixed - Any other","DFE","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","85"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Asian","DFE","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","85"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Asian - Indian","DFE","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","89"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Asian - Pakistani","DFE","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","81"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Asian - Bangladeshi","DFE","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","83"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Asian - Any other","DFE","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","85"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Black","DFE","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","84"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Black - Caribbean","DFE","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","81"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Black - African","DFE","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","85"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Black - Any other","DFE","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","81"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Chinese","DFE","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","89"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Year","England","All","E92000001","Other","DFE","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","80"
