"Title","Employment by qualification level"
"Location","England, Wales and Scotland"
"Time period","2017"
"Data source","Department for Education"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-05"
"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Georgraphy","Geography_type","Gender","Age","Highest qualification held","Qualification_type","Value","Value_type","Denominator","Numerator","upper 95%","lower 95%","Sample size"
"% of individuals in employment","White","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","89.00%","%","5,258,672","4,680,660","89.40%","88.60%","23,895"
"% of individuals in employment","Mixed","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","86.90%","%","65,297","56,746","93.80%","80.10%","233"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","89.80%","%","485,907","436,519","92.00%","87.70%","1,856"
"% of individuals in employment","Black or Black British","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","83.60%","%","172,195","143,883","88.10%","79.00%","632"
"% of individuals in employment","Other","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","84.60%","%","167,569","141,770","89.00%","80.20%","645"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","87.40%","%","890,968","778,918","89.20%","85.70%","3,366"
"% of individuals in employment","Unreported","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","88.80%","%","6,153,963","5,463,091","89.10%","88.40%","27,281"
"% of individuals in employment","White","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","84.30%","%","3,197,019","2,694,619","84.90%","83.70%","15,559"
"% of individuals in employment","Mixed","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","76.60%","%","26,186","20,069","89.60%","63.70%","102"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","80.50%","%","114,615","92,221","86.20%","74.70%","455"
"% of individuals in employment","Black or Black British","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","71.90%","%","52,959","38,075","82.00%","61.80%","192"
"% of individuals in employment","Other","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","76.20%","%","29,418","22,405","89.00%","63.40%","107"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","77.40%","%","223,176","172,769","81.80%","73.00%","855"
"% of individuals in employment","Unreported","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","83.80%","%","3,421,565","2,868,346","84.40%","83.30%","16,420"
"% of individuals in employment","White","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","78.60%","%","2,892,278","2,273,428","79.30%","77.90%","14,096"
"% of individuals in employment","Mixed","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","64.20%","%","29,182","18,734","78.20%","50.20%","112"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","71.10%","%","128,665","91,435","77.30%","64.80%","508"
"% of individuals in employment","Black or Black British","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","69.90%","%","61,186","42,793","79.70%","60.20%","212"
"% of individuals in employment","Other","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","72.00%","%","29,455","21,202","85.30%","58.70%","110"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","70.10%","%","248,486","174,163","74.70%","65.50%","941"
"% of individuals in employment","Unreported","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","77.90%","%","3,141,463","2,447,855","78.60%","77.30%","15,041"
"% of individuals in employment","White","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","74.70%","%","1,956,937","1,461,555","75.60%","73.80%","9,141"
"% of individuals in employment","Mixed","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","71.60%","%","90,213","64,565","78.70%","64.40%","383"
"% of individuals in employment","Black or Black British","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","62.50%","%","49,992","31,237","74.10%","50.80%","166"
"% of individuals in employment","Other","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Ethnic Minority","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","66.60%","%","176,954","117,925","72.20%","61.10%","693"
"% of individuals in employment","Unreported","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2012","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","74.00%","%","2,133,891","1,579,480","74.90%","73.20%","9,834"
