"Ethnicity","Highest qualification held",""
"All","All","83%"
"All","Level 4 and above","90%"
"All","Level 3","86%"
"All","Level 2","81%"
"All","Below Level 2","79%"
"All","Other qualifications","83%"
"All","No qualifications","55%"
"Asian","All","82%"
"Asian","Level 4 and above","91%"
"Asian","Level 3","80%"
"Asian","Level 2","71%"
"Asian","Below Level 2","74%"
"Asian","Other qualifications","83%"
"Asian","No qualifications","63%"
"Black","All","80%"
"Black","Level 4 and above","90%"
"Black","Level 3","84%"
"Black","Level 2","63%"
"Black","Below Level 2","73%"
"Black","Other qualifications","81%"
"Black","No qualifications","49%"
"Mixed","All","77%"
"Mixed","Level 4 and above","86%"
"Mixed","Level 3","84%"
"Mixed","Level 2","70%"
"Mixed","Below Level 2","?"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","?"
"White","All","83%"
"White","Level 4 and above","90%"
"White","Level 3","87%"
"White","Level 2","82%"
"White","Below Level 2","79%"
"White","Other qualifications","83%"
"White","No qualifications","54%"
"Other","All","78%"
"Other","Level 4 and above","85%"
"Other","Level 3","77%"
"Other","Level 2","60%"
"Other","Below Level 2","?"
"Other","Other qualifications","80%"
"Other","No qualifications","62%"
