"Title","Average number of reoffences per offender, by ethnicity"
"Location","England and Wales"
"Time period","2004 to 2014"
"Data source","NOMS Offender Equalities Statistics Bulletin - supplementary table 15.2"
"Data source link","https://www.gov.uk/government/statistics/noms-annual-offender-equalities-report-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","24 November 2016"

"Year","Ethnic group","Rate","Reoffenders","Reoffences"
"2004","Asian","3.0","6,484","19,613"
"2004","Black","3.1","14,807","46,320"
"2004","White","3.2","155,777","504,368"
"2004","Other","2.9","1,272","3,738"
"2004","Not Recorded","2.5","1,717","4,323"
"2005","Asian","2.9","7,174","20,471"
"2005","Black","3.0","15,854","46,977"
"2005","White","3.1","160,235","492,000"
"2005","Other","2.8","1,447","4,089"
"2005","Not Recorded","2.5","1,965","4,878"
"2006","Asian","2.7","7,757","21,136"
"2006","Black","2.9","17,028","48,957"
"2006","White","3.0","167,371","494,135"
"2006","Other","2.6","1,494","3,942"
"2006","Not Recorded","2.3","2,192","5,107"
"2007","Asian","2.7","8,041","21,527"
"2007","Black","2.8","17,792","50,665"
"2007","White","2.9","171,164","498,599"
"2007","Other","2.7","1,513","4,098"
"2007","Not Recorded","2.5","1,989","4,898"
"2008","Asian","2.7","8,166","21,785"
"2008","Black","2.8","17,812","49,246"
"2008","White","2.9","166,095","485,304"
"2008","Other","2.5","1,498","3,743"
"2008","Not Recorded","2.6","1,684","4,312"
"2009","Asian","2.6","7,865","20,293"
"2009","Black","2.6","16,900","44,672"
"2009","White","2.8","153,530","434,010"
"2009","Other","2.4","1,518","3,710"
"2009","Not Recorded","2.4","1,433","3,479"
"2010","Asian","2.7","7,470","19,817"
"2010","Black","2.7","16,219","43,954"
"2010","White","2.9","144,286","420,380"
"2010","Other","2.7","1,479","3,931"
"2010","Not Recorded","2.5","1,389","3,504"
"2011","Asian","2.6","6,985","18,250"
"2011","Black","2.7","15,395","41,769"
"2011","White","3.0","136,894","405,081"
"2011","Other","2.6","1,349","3,492"
"2011","Not Recorded","2.5","1,359","3,354"
"2012","Asian","2.7","6,247","16,615"
"2012","Black","2.8","13,914","38,448"
"2012","White","3.0","121,584","366,827"
"2012","Other","2.7","1,231","3,271"
"2012","Not Recorded","2.5","1,233","3,037"
"2013","Asian","2.8","5,971","16,469"
"2013","Black","2.8","13,200","37,488"
"2013","White","3.2","114,413","361,191"
"2013","Other","2.6","1,221","3,219"
"2013","Not Recorded","2.6","1,198","3,079"
"2014","Asian","2.8","5,539","15,679"
"2014","Black","3.0","12,391","36,902"
"2014","White","3.3","104,489","340,577"
"2014","Other","2.7","1,090","2,913"
"2014","Not Recorded","2.7","1,156","3,094"
