"Measure","Time","Time_type","Ethnicity_type","Ethnicity","Geography","Numerator","Value","Denominator","Sample size"
"Percentage of households who had financial help from family to buy a home","2015-16 and 2016-17","Two years","ONS 2011 18+1","White British","England","851","7","12208","12878"
"Percentage of households who had financial help from family to buy a home","2015-16 and 2016-17","Two years","ONS 2011 18+1","White Irish","England","8","7.8","98","104"
"Percentage of households who had financial help from family to buy a home","2015-16 and 2016-17","Two years","ONS 2011 18+1","White Gypsy or Irish Traveller","England","?","?","?","2"
"Percentage of households who had financial help from family to buy a home","2015-16 and 2016-17","Two years","ONS 2011 18+1","White Other","England","43","12.8","339","344"
"Percentage of households who had financial help from family to buy a home","2015-16 and 2016-17","Two years","ONS 2011 18+1","Mixed White and Black Caribbean","England","?","?","?","28"
"Percentage of households who had financial help from family to buy a home","2015-16 and 2016-17","Two years","ONS 2011 18+1","Mixed White and Black African","England","?","?","?","27"
"Percentage of households who had financial help from family to buy a home","2015-16 and 2016-17","Two years","ONS 2011 18+1","Mixed White and Asian","England","3","8.5","40","36"
"Percentage of households who had financial help from family to buy a home","2015-16 and 2016-17","Two years","ONS 2011 18+1","Mixed Other","England","?","?","?","18"
"Percentage of households who had financial help from family to buy a home","2015-16 and 2016-17","Two years","ONS 2011 18+1","Indian","England","33","9.7","336","329"
"Percentage of households who had financial help from family to buy a home","2015-16 and 2016-17","Two years","ONS 2011 18+1","Pakistani","England","24","13.6","178","178"
"Percentage of households who had financial help from family to buy a home","2015-16 and 2016-17","Two years","ONS 2011 18+1","Bangladeshi","England","4","6.9","51","53"
"Percentage of households who had financial help from family to buy a home","2015-16 and 2016-17","Two years","ONS 2011 18+1","Chinese","England","8","18.9","41","44"
"Percentage of households who had financial help from family to buy a home","2015-16 and 2016-17","Two years","ONS 2011 18+1","Asian Other","England","5","7.3","75","67"
"Percentage of households who had financial help from family to buy a home","2015-16 and 2016-17","Two years","ONS 2011 18+1","Black African","England","7","9.1","75","77"
"Percentage of households who had financial help from family to buy a home","2015-16 and 2016-17","Two years","ONS 2011 18+1","Black Caribbean","England","7","6.9","105","100"
"Percentage of households who had financial help from family to buy a home","2015-16 and 2016-17","Two years","ONS 2011 18+1","Black Other","England","?","?","?","13"
"Percentage of households who had financial help from family to buy a home","2015-16 and 2016-17","Two years","ONS 2011 18+1","Arab","England","?","?","?","17"
"Percentage of households who had financial help from family to buy a home","2015-16 and 2016-17","Two years","ONS 2011 18+1","Other","England","8","11","76","76"
