"Title","Feeling of belonging to a neighbourhood"
"Location","England"
"Time period","2016/17 to 2017/18"
"Data source","Department for Digital, Culture, Media and Sport"
"Data source link","https://www.gov.uk/government/collections/community-life-survey--2"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-08"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Number of respondents"
"People feeling strongly they belong to their neighbourhood by ethnicity","2016-17","Year","All","5+1","England","62","10215"
"People feeling strongly they belong to their neighbourhood by ethnicity","2016-17","Year","Asian","5+1","England","64","1109"
"People feeling strongly they belong to their neighbourhood by ethnicity","2016-17","Year","Black","5+1","England","60","357"
"People feeling strongly they belong to their neighbourhood by ethnicity","2016-17","Year","Mixed","5+1","England","65","462"
"People feeling strongly they belong to their neighbourhood by ethnicity","2016-17","Year","White","5+1","England","61","7996"
"People feeling strongly they belong to their neighbourhood by ethnicity","2016-17","Year","Other","5+1","England","62","162"
"People feeling strongly they belong to their neighbourhood by ethnicity","2017-18","Year","All","5+1","England","62","10173"
"People feeling strongly they belong to their neighbourhood by ethnicity","2017-18","Year","Asian","5+1","England","65","925"
"People feeling strongly they belong to their neighbourhood by ethnicity","2017-18","Year","Black","5+1","England","56","353"
"People feeling strongly they belong to their neighbourhood by ethnicity","2017-18","Year","Mixed","5+1","England","56","508"
"People feeling strongly they belong to their neighbourhood by ethnicity","2017-18","Year","White","5+1","England","63","8067"
"People feeling strongly they belong to their neighbourhood by ethnicity","2017-18","Year","Other","5+1","England","44","124"
