"Title","Self-inflicted deaths per 1,000 prisoners by ethnicity"
"Location","England and Wales"
"Time period","2011 to 2015"
"Data source","National Offender Management Service (NOMS) Offender Equalities Statistics Bulletin - supplementary table 2.6 https://www.gov.uk/government/statistics/noms-annual-offender-equalities-report-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Value","Numerator"
"Number of self inflicted deaths per 1000","2011","Year","Asian","ONS 5+1 2001","All","All/Male/Female","0.5","3"
"Number of self inflicted deaths per 1000","2012","Year","Asian","ONS 5+1 2001","All","All/Male/Female","0.5","3"
"Number of self inflicted deaths per 1000","2013","Year","Asian","ONS 5+1 2001","All","All/Male/Female","0.9","6"
"Number of self inflicted deaths per 1000","2014","Year","Asian","ONS 5+1 2001","All","All/Male/Female","0.5","3"
"Number of self inflicted deaths per 1000","2015","Year","Asian","ONS 5+1 2001","All","All/Male/Female","0.7","5"
"Number of self inflicted deaths per 1000","2011","Year","Black","ONS 5+1 2001","All","All/Male/Female","0.2","2"
"Number of self inflicted deaths per 1000","2012","Year","Black","ONS 5+1 2001","All","All/Male/Female","0.4","4"
"Number of self inflicted deaths per 1000","2013","Year","Black","ONS 5+1 2001","All","All/Male/Female","0.7","8"
"Number of self inflicted deaths per 1000","2014","Year","Black","ONS 5+1 2001","All","All/Male/Female","0.4","4"
"Number of self inflicted deaths per 1000","2015","Year","Black","ONS 5+1 2001","All","All/Male/Female","0.3","3"
"Number of self inflicted deaths per 1000","2011","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","0.3","1"
"Number of self inflicted deaths per 1000","2012","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","1.6","5"
"Number of self inflicted deaths per 1000","2013","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","0.6","2"
"Number of self inflicted deaths per 1000","2014","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","0.6","2"
"Number of self inflicted deaths per 1000","2015","Year","Mixed","ONS 5+1 2001","All","All/Male/Female","0.9","3"
"Number of self inflicted deaths per 1000","2011","Year","Other","ONS 5+1 2001","All","All/Male/Female","1","1"
"Number of self inflicted deaths per 1000","2012","Year","Other","ONS 5+1 2001","All","All/Male/Female","0","0"
"Number of self inflicted deaths per 1000","2013","Year","Other","ONS 5+1 2001","All","All/Male/Female","0","0"
"Number of self inflicted deaths per 1000","2014","Year","Other","ONS 5+1 2001","All","All/Male/Female","0","0"
"Number of self inflicted deaths per 1000","2015","Year","Other","ONS 5+1 2001","All","All/Male/Female","1","1"
"Number of self inflicted deaths per 1000","2011","Year","White","ONS 5+1 2001","All","All/Male/Female","0.8","51"
"Number of self inflicted deaths per 1000","2012","Year","White","ONS 5+1 2001","All","All/Male/Female","0.8","49"
"Number of self inflicted deaths per 1000","2013","Year","White","ONS 5+1 2001","All","All/Male/Female","1","60"
"Number of self inflicted deaths per 1000","2014","Year","White","ONS 5+1 2001","All","All/Male/Female","1.3","80"
"Number of self inflicted deaths per 1000","2015","Year","White","ONS 5+1 2001","All","All/Male/Female","1.2","77"
