"Title","Reading attainment for children aged 6 to 7 by ethnicity and gender"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","28 September 2017"

"Gender","Ethnicity","Expected standard","Higher standard"
"Boys","All","71","22"
"Boys","Asian","73","21"
"Boys","Bangladeshi","70","19"
"Boys","Indian","80","29"
"Boys","Pakistani","68","16"
"Boys","Asian other","74","22"
"Boys","Black","72","19"
"Boys","Black African","73","21"
"Boys","Black Caribbean","68","17"
"Boys","Black other","70","17"
"Boys","Chinese","81","33"
"Boys","Mixed","73","23"
"Boys","Mixed White/Asian","77","28"
"Boys","Mixed White/Black African","73","21"
"Boys","Mixed White/Black Caribbean","68","18"
"Boys","Mixed other","74","24"
"Boys","White","71","22"
"Boys","White British","72","23"
"Boys","White Irish","74","28"
"Boys","White Irish Traveller","25","4"
"Boys","White Gypsy/Roma","24","2"
"Boys","White other","66","18"
"Boys","Other","65","15"
"Girls","All","80","29"
"Girls","Asian","81","28"
"Girls","Bangladeshi","79","26"
"Girls","Indian","87","37"
"Girls","Pakistani","77","21"
"Girls","Asian other","82","30"
"Girls","Black","81","27"
"Girls","Black African","82","28"
"Girls","Black Caribbean","80","23"
"Girls","Black other","79","26"
"Girls","Chinese","87","38"
"Girls","Mixed","82","31"
"Girls","Mixed White/Asian","85","36"
"Girls","Mixed White/Black African","82","30"
"Girls","Mixed White/Black Caribbean","79","25"
"Girls","Mixed other","83","33"
"Girls","White","80","29"
"Girls","White British","81","30"
"Girls","White Irish","80","33"
"Girls","White Irish Traveller","42","6"
"Girls","White Gypsy/Roma","31","3"
"Girls","White other","74","23"
"Girls","Other","72","21"
