"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Geography","Geography_Code","Gender","FSM","Value","Value_Type","Denominator"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","All","74","%","641593"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","FSM","60","%","97397"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","Non-FSM","77","%","544196"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","All","70","%","328249"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","FSM","54","%","50061"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","Non-FSM","73","%","278188"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","All","78","%","313344"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","FSM","65","%","47336"
"Percentage of pupils reaching the key stage 1 expected standard in reading","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","Non-FSM","81","%","266008"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","All","76","%","68312"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","FSM","67","%","8899"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","Non-FSM","77","%","59413"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","All","72","%","34773"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","FSM","63","%","4477"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","Non-FSM","73","%","30296"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","All","80","%","33539"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","FSM","72","%","4422"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","Non-FSM","81","%","29117"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","All","75","%","10383"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","FSM","71","%","2051"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","Non-FSM","76","%","8332"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","All","71","%","5175"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","FSM","66","%","1023"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","Non-FSM","72","%","4152"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","All","79","%","5208"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","FSM","75","%","1028"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","Non-FSM","80","%","4180"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","All","83","%","18435"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","FSM","73","%","977"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","Non-FSM","83","%","17458"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","All","79","%","9412"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","FSM","70","%","464"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","Non-FSM","80","%","8948"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","All","86","%","9023"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","FSM","77","%","513"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","Non-FSM","87","%","8510"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","All","71","%","28158"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","FSM","65","%","4591"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","Non-FSM","72","%","23567"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","All","67","%","14430"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","FSM","60","%","2330"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","Non-FSM","68","%","12100"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","All","75","%","13728"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","FSM","70","%","2261"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","Non-FSM","76","%","11467"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","All","77","%","11336"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","FSM","67","%","1280"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","Non-FSM","79","%","10056"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","All","73","%","5756"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","FSM","63","%","660"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","Non-FSM","74","%","5096"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","All","82","%","5580"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","FSM","72","%","620"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","Non-FSM","83","%","4960"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","All","76","%","35798"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","FSM","70","%","9262"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","Non-FSM","78","%","26536"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","All","71","%","18178"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","FSM","64","%","4686"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","Non-FSM","74","%","13492"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","All","81","%","17620"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","FSM","76","%","4576"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","Non-FSM","82","%","13044"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","All","77","%","24111"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","FSM","71","%","5943"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","Non-FSM","79","%","18168"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","All","73","%","12246"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","FSM","66","%","3028"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","Non-FSM","75","%","9218"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","All","82","%","11865"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","FSM","77","%","2915"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","Non-FSM","84","%","8950"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","All","73","%","6818"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","FSM","67","%","1987"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","Non-FSM","75","%","4831"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","All","68","%","3419"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","FSM","59","%","969"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","Non-FSM","72","%","2450"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","All","78","%","3399"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","FSM","74","%","1018"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","Non-FSM","79","%","2381"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: Other Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","All","73","%","4869"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: Other Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","FSM","67","%","1332"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: Other Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","Non-FSM","75","%","3537"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: Other Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","All","68","%","2513"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: Other Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","FSM","61","%","689"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: Other Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","Non-FSM","71","%","1824"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: Other Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","All","78","%","2356"
"Percentage of pupils reaching the key stage 1 expected standard in reading","Black: Other Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","FSM","73","%","643"
