"Title","Reading attainment for children aged 6 to 7 by ethnicity, gender and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","28 September 2017"

"Gender","Ethnicity","FSM","Non-FSM"
"Boys","All","56","74"
"Boys","Asian","65","74"
"Boys","Bangladeshi","66","71"
"Boys","Indian","69","81"
"Boys","Pakistani","63","69"
"Boys","Asian other","65","75"
"Boys","Black","64","74"
"Boys","Black African","66","75"
"Boys","Black Caribbean","59","71"
"Boys","Black other","62","73"
"Boys","Chinese","72","82"
"Boys","Mixed","59","77"
"Boys","Mixed White/Asian","55","81"
"Boys","Mixed White/Black African","65","75"
"Boys","Mixed White/Black Caribbean","58","72"
"Boys","Mixed other","61","77"
"Boys","White","53","74"
"Boys","White British","53","75"
"Boys","White Irish","42","78"
"Boys","White Irish Traveller","22","29"
"Boys","White Gypsy/Roma","24","24"
"Boys","White other","55","67"
"Boys","Other","61","66"
"Girls","All","66","82"
"Girls","Asian","71","82"
"Girls","Bangladeshi","73","81"
"Girls","Indian","75","88"
"Girls","Pakistani","70","78"
"Girls","Asian other","71","84"
"Girls","Black","76","83"
"Girls","Black African","77","84"
"Girls","Black Caribbean","76","82"
"Girls","Black other","74","80"
"Girls","Chinese","80","88"
"Girls","Mixed","71","85"
"Girls","Mixed White/Asian","70","87"
"Girls","Mixed White/Black African","75","84"
"Girls","Mixed White/Black Caribbean","69","83"
"Girls","Mixed other","73","85"
"Girls","White","63","82"
"Girls","White British","64","84"
"Girls","White Irish","51","86"
"Girls","White Irish Traveller","38","46"
"Girls","White Gypsy/Roma","32","31"
"Girls","White other","65","75"
"Girls","Other","64","74"
