"Title","Reading attainments for children aged 5 to 7 (key stage 1)"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19/12/2016"
"
"
Measure,Time,Time_type,Region,Local Authority,LA Code,Ethnicity,Ethnicity type,Gender,Gender_type,Value,Value_type,Denominator
% of pupils reaching the key stage 1 expected standard in reading by ethnicity and gender,2015 - 2016,Academic year,North East,County Durham,E06000047,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,5271
% of pupils reaching the key stage 1 expected standard in reading by ethnicity and gender,2015 - 2016,Academic year,North East,Darlington,E06000005,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,1212
% of pupils reaching the key stage 1 expected standard in reading by ethnicity and gender,2015 - 2016,Academic year,North East,Gateshead,E08000037,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,77,%,2063
% of pupils reaching the key stage 1 expected standard in reading by ethnicity and gender,2015 - 2016,Academic year,North East,Hartlepool,E06000001,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,1119
% of pupils reaching the key stage 1 expected standard in reading by ethnicity and gender,2015 - 2016,Academic year,North East,Middlesbrough,E06000002,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,68,%,1427
% of pupils reaching the key stage 1 expected standard in reading by ethnicity and gender,2015 - 2016,Academic year,North East,Newcastle upon Tyne,E08000021,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,74,%,2282
% of pupils reaching the key stage 1 expected standard in reading by ethnicity and gender,2015 - 2016,Academic year,North East,North Tyneside,E08000022,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,2159
% of pupils reaching the key stage 1 expected standard in reading by ethnicity and gender,2015 - 2016,Academic year,North East,Northumberland,E06000057,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,3166
% of pupils reaching the key stage 1 expected standard in reading by ethnicity and gender,2015 - 2016,Academic year,North East,Redcar and Cleveland,E06000003,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,77,%,1462
% of pupils reaching the key stage 1 expected standard in reading by ethnicity and gender,2015 - 2016,Academic year,North East,South Tyneside,E08000023,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,1494
% of pupils reaching the key stage 1 expected standard in reading by ethnicity and gender,2015 - 2016,Academic year,North East,Stockton-on-Tees,E06000004,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,2104
% of pupils reaching the key stage 1 expected standard in reading by ethnicity and gender,2015 - 2016,Academic year,North East,Sunderland,E08000024,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,2877
% of pupils reaching the key stage 1 expected standard in reading by ethnicity and gender,2015 - 2016,Academic year,North West,Blackburn with Darwen,E06000008,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,1126
% of pupils reaching the key stage 1 expected standard in reading by ethnicity and gender,2015 - 2016,Academic year,North West,Blackpool,E06000009,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,74,%,1531
% of pupils reaching the key stage 1 expected standard in reading by ethnicity and gender,2015 - 2016,Academic year,North West,Bolton,E08000001,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,72,%,2601
% of pupils reaching the key stage 1 expected standard in reading by ethnicity and gender,2015 - 2016,Academic year,North West,Bury,E08000002,White,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,1878
