"Title","Reading attainment for children aged 5 to 7 by ethnicity, gender, and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19/12/2016"

"","FSM Boys","FSM Girls","Non-FSM  Boys","Non-FSM Girls"
"Ethnicity","%","%","%","%"
"All","54","65","73","81"
"Asian","63","72","73","81"
"Bangladeshi","66","75","72","80"
"Indian","70","77","80","87"
"Pakistani","60","70","68","76"
"Asian other","63","72","74","83"
"Black","64","76","74","82"
"Black African","66","77","75","84"
"Black Caribbean","59","74","72","79"
"Black other","61","73","71","80"
"Chinese","72","79","78","83"
"Mixed","59","71","76","83"
"Mixed White/Asian","60","72","80","87"
"Mixed White/Black African","62","73","77","83"
"Mixed White/Black Caribbean","56","70","71","79"
"Mixed other","61","72","75","84"
"White","51","62","73","81"
"White British","52","63","74","82"
"White Irish","52","63","76","86"
"White Irish Traveller","28","35","25","41"
"White Gypsy/Roma","20","35","22","28"
"White other","53","61","65","71"
"Other","57","69","66","73"
