"","Boys","","Girls",""
"Ethnicity","FSM","Non-FSM","FSM","Non-FSM"
"All","56","74","66","82"
"Asian","65","74","71","82"
"Bangladeshi","66","71","73","81"
"Indian","69","81","75","88"
"Pakistani","63","69","70","78"
"Asian other","65","75","71","84"
"Black","64","74","76","83"
"Black African","66","75","77","84"
"Black Caribbean","59","71","76","82"
"Black other","62","73","74","80"
"Chinese","72","82","80","88"
"Mixed","59","77","71","85"
"Mixed White/Asian","55","81","70","87"
"Mixed White/Black African","65","75","75","84"
"Mixed White/Black Caribbean","58","72","69","83"
"Mixed other","61","77","73","85"
"White","53","74","63","82"
"White British","53","75","64","84"
"White Irish","42","78","51","86"
"White Irish Traveller","22","29","38","46"
"White Gypsy/Roma","24","24","32","31"
"White other","55","67","65","75"
"Other","61","66","64","74"
