"Title","Reading attainment for children aged 5 to 7 by ethnicity and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","14/12/16"

"FSM","Ethnicity","%"
"FSM","All","60"
"FSM","Asian","67"
"FSM","Bangladeshi","71"
"FSM","Indian","73"
"FSM","Pakistani","65"
"FSM","Asian other","67"
"FSM","Black","70"
"FSM","Black African","71"
"FSM","Black Caribbean","67"
"FSM","Black other","67"
"FSM","Chinese","75"
"FSM","Mixed","65"
"FSM","Mixed White/Asian","66"
"FSM","Mixed White/Black African","68"
"FSM","Mixed White/Black Caribbean","63"
"FSM","Mixed other","67"
"FSM","White","56"
"FSM","White British","57"
"FSM","White Irish","57"
"FSM","White Irish Traveller","32"
"FSM","White Gypsy/Roma","28"
"FSM","White other","57"
"FSM","Other","63"
"Non-FSM","All","77"
"Non-FSM","Asian","77"
"Non-FSM","Bangladeshi","76"
"Non-FSM","Indian","83"
"Non-FSM","Pakistani","72"
"Non-FSM","Asian other","79"
"Non-FSM","Black","78"
"Non-FSM","Black African","79"
"Non-FSM","Black Caribbean","75"
"Non-FSM","Black other","75"
"Non-FSM","Chinese","80"
"Non-FSM","Mixed","79"
"Non-FSM","Mixed White/Asian","84"
"Non-FSM","Mixed White/Black African","80"
"Non-FSM","Mixed White/Black Caribbean","75"
"Non-FSM","Mixed other","79"
"Non-FSM","White","77"
"Non-FSM","White British","78"
"Non-FSM","White Irish","81"
"Non-FSM","White Irish Traveller","32"
"Non-FSM","White Gypsy/Roma","25"
"Non-FSM","White other","68"
"Non-FSM","Other","69"
