"Title","Number of homeless households by ethnicity over time"
"Location","England"
"Time period","2006/07 to 2016/17"
"Data source","Live tables on homelessness (table 784)"
"Data source link","https://www.gov.uk/government/statistical-data-sets/live-tables-on-homelessness#homelessness-summary-local-authority-level-tables"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Standard Ethnicity","Year","Number"
"All","2006/07","73,360"
"All","2007/08","63,170"
"All","2008/09","53,430"
"All","2009/10","40,020"
"All","2010/11","44,160"
"All","2011/12","50,290"
"All","2012/13","53,770"
"All","2013/14","52,290"
"All","2014/15","54,430"
"All","2015/16","57,730"
"All","2016/17","59,100"
"Asian","2006/07","4,130"
"Asian","2007/08","3,860"
"Asian","2008/09","3,310"
"Asian","2009/10","2,620"
"Asian","2010/11","2,800"
"Asian","2011/12","3,410"
"Asian","2012/13","4,180"
"Asian","2013/14","4,510"
"Asian","2014/15","4,910"
"Asian","2015/16","5,480"
"Asian","2016/17","5,560"
"Black","2006/07","7,250"
"Black","2007/08","6,900"
"Black","2008/09","6,630"
"Black","2009/10","5,600"
"Black","2010/11","6,360"
"Black","2011/12","7,130"
"Black","2012/13","8,210"
"Black","2013/14","8,210"
"Black","2014/15","8,680"
"Black","2015/16","9,540"
"Black","2016/17","9,330"
"Mixed","2006/07","1,590"
"Mixed","2007/08","1,430"
"Mixed","2008/09","1,440"
"Mixed","2009/10","1,160"
"Mixed","2010/11","1,330"
"Mixed","2011/12","1,640"
"Mixed","2012/13","1,740"
"Mixed","2013/14","1,670"
"Mixed","2014/15","1,780"
"Mixed","2015/16","2,020"
"Mixed","2016/17","1,990"
"White","2006/07","54,370"
"White","2007/08","45,490"
"White","2008/09","37,310"
"White","2009/10","27,250"
"White","2010/11","29,540"
"White","2011/12","33,410"
"White","2012/13","34,600"
"White","2013/14","32,770"
"White","2014/15","33,300"
"White","2015/16","34,190"
"White","2016/17","35,890"
"Other","2006/07","2,150"
"Other","2007/08","1,980"
"Other","2008/09","1,930"
"Other","2009/10","1,550"
"Other","2010/11","1,890"
"Other","2011/12","2,270"
"Other","2012/13","2,270"
"Other","2013/14","2,190"
"Other","2014/15","2,400"
"Other","2015/16","2,770"
"Other","2016/17","2,820"
"Unknown","2006/07","3,880"
"Unknown","2007/08","3,510"
"Unknown","2008/09","2,820"
"Unknown","2009/10","1,850"
"Unknown","2010/11","2,240"
"Unknown","2011/12","2,430"
"Unknown","2012/13","2,770"
"Unknown","2013/14","2,950"
"Unknown","2014/15","3,380"
"Unknown","2015/16","3,730"
"Unknown","2016/17","3,510"
"Ethnic minority (excl. White minorities)","2006/07","15,120"
"Ethnic minority (excl. White minorities)","2007/08","14,170"
"Ethnic minority (excl. White minorities)","2008/09","13,310"
"Ethnic minority (excl. White minorities)","2009/10","10,930"
"Ethnic minority (excl. White minorities)","2010/11","12,380"
"Ethnic minority (excl. White minorities)","2011/12","14,450"
"Ethnic minority (excl. White minorities)","2012/13","16,400"
"Ethnic minority (excl. White minorities)","2013/14","16,580"
"Ethnic minority (excl. White minorities)","2014/15","17,770"
"Ethnic minority (excl. White minorities)","2015/16","19,810"
"Ethnic minority (excl. White minorities)","2016/17","19,700"
