"Measure","Time","Time_Type","Ethnicity","Ethnicity_type","Geography","Geography_type","Geography_name","Value","Denominator","Numerator","",""
"Percentage of people who were accepted as being statutorily homeless","2006/07","Financial Year","Other","Black, Asian, Mixed, Other","E92000001","Country","England","21","73360","15120","",""
"Percentage of people who were accepted as being statutorily homeless","2007/08","Financial Year","Other","Black, Asian, Mixed, Other","E92000001","Country","England","22","63170","14170","",""
"Percentage of people who were accepted as being statutorily homeless","2008/09","Financial Year","Other","Black, Asian, Mixed, Other","E92000001","Country","England","25","53430","13310","",""
"Percentage of people who were accepted as being statutorily homeless","2009/10","Financial Year","Other","Black, Asian, Mixed, Other","E92000001","Country","England","27","40020","10930","",""
"Percentage of people who were accepted as being statutorily homeless","2010/11","Financial Year","Other","Black, Asian, Mixed, Other","E92000001","Country","England","28","44160","12380","",""
"Percentage of people who were accepted as being statutorily homeless","2011/12","Financial Year","Other","Black, Asian, Mixed, Other","E92000001","Country","England","29","50290","14450","",""
"Percentage of people who were accepted as being statutorily homeless","2012/13","Financial Year","Other","Black, Asian, Mixed, Other","E92000001","Country","England","31","53770","16400","",""
"Percentage of people who were accepted as being statutorily homeless","2013/14","Financial Year","Other","Black, Asian, Mixed, Other","E92000001","Country","England","32","52290","16580","",""
"Percentage of people who were accepted as being statutorily homeless","2014/15","Financial Year","Other","Black, Asian, Mixed, Other","E92000001","Country","England","33","54430","17770","",""
"Percentage of people who were accepted as being statutorily homeless","2015/16","Financial Year","Other","Black, Asian, Mixed, Other","E92000001","Country","England","34","57730","19810","",""
"Percentage of people who were accepted as being statutorily homeless","2016/17","Financial Year","Other","Black, Asian, Mixed, Other","E92000001","Country","England","33","59110","19710","",""
"Percentage of people who were accepted as being statutorily homeless","2017/18","Financial Year","Other","Black, Asian, Mixed, Other","E92000002","Country","England","32","56580","17940","",""
"Percentage of people who were accepted as being statutorily homeless","2006/07","Financial Year","All","All","E92000001","Country","England","100","73360","73360","",""
"Percentage of people who were accepted as being statutorily homeless","2007/08","Financial Year","All","All","E92000001","Country","England","100","63170","63170","",""
"Percentage of people who were accepted as being statutorily homeless","2008/09","Financial Year","All","All","E92000001","Country","England","100","53430","53430","",""
"Percentage of people who were accepted as being statutorily homeless","2009/10","Financial Year","All","All","E92000001","Country","England","100","40020","40020","",""
"Percentage of people who were accepted as being statutorily homeless","2010/11","Financial Year","All","All","E92000001","Country","England","100","44160","44160","",""
"Percentage of people who were accepted as being statutorily homeless","2011/12","Financial Year","All","All","E92000001","Country","England","100","50290","50290","",""
