"","2012","2013","2014","2015","2016"
"Ethnicity","","","","",""
"All","7.31","7.37","7.44","7.48","7.49"
"Bangladeshi","7.30","7.56","7.57","7.44","7.58"
"Chinese","7.41","7.51","7.51","7.60","7.54"
"Indian","7.49","7.54","7.59","7.70","7.75"
"Pakistani","7.16","7.18","7.39","7.53","7.50"
"Asian other","7.37","7.43","7.50","7.52","7.61"
"Black","7.03","7.16","7.33","7.31","7.35"
"Mixed","7.03","7.24","6.99","7.21","7.37"
"White","7.32","7.38","7.45","7.48","7.49"
"Other","7.09","7.19","7.43","7.43","7.62"
"Arab","6.88","6.94","7.15","7.19","7.41"
"Gypsy / Traveller / Irish Traveller","?","?","?","?","?"
