"Title","Happiness  by ethnicity and socio-economic group"
"Location","UK"
"Time period","2013 to 2015 combined"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/datasets/measuringnationalwellbeinghappiness"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","-"

"NS-SEC","Ethnicity",""
"Higher managerial and professional","All","7.59"
"Higher managerial and professional","Bangladeshi","7.44"
"Higher managerial and professional","Chinese","7.63"
"Higher managerial and professional","Indian","7.73"
"Higher managerial and professional","Pakistani","7.71"
"Higher managerial and professional","Asian other","7.54"
"Higher managerial and professional","Black","7.36"
"Higher managerial and professional","Mixed","7.42"
"Higher managerial and professional","White","7.59"
"Higher managerial and professional","Other","7.69"
"Higher managerial and professional","Arab","7.27"
"Higher managerial and professional","Gypsy / Traveller / Irish Traveller","?"
"Lower managerial and professional","All","7.54"
"Lower managerial and professional","Bangladeshi","7.29"
"Lower managerial and professional","Chinese","7.57"
"Lower managerial and professional","Indian","7.62"
"Lower managerial and professional","Pakistani","7.57"
"Lower managerial and professional","Asian other","7.55"
"Lower managerial and professional","Black","7.32"
"Lower managerial and professional","Mixed","7.20"
"Lower managerial and professional","White","7.55"
"Lower managerial and professional","Other","7.27"
"Lower managerial and professional","Arab","7.27"
"Lower managerial and professional","Gypsy / Traveller / Irish Traveller","?"
"Intermediate occupations","All","7.47"
"Intermediate occupations","Bangladeshi","7.45"
"Intermediate occupations","Chinese","7.50"
"Intermediate occupations","Indian","7.69"
"Intermediate occupations","Pakistani","7.44"
"Intermediate occupations","Asian other","7.44"
"Intermediate occupations","Black","7.26"
"Intermediate occupations","Mixed","7.10"
"Intermediate occupations","White","7.48"
"Intermediate occupations","Other","7.19"
"Intermediate occupations","Arab","?"
"Intermediate occupations","Gypsy / Traveller / Irish Traveller","?"
"Small employers and own account workers","All","7.54"
"Small employers and own account workers","Bangladeshi","7.58"
"Small employers and own account workers","Chinese","7.73"
"Small employers and own account workers","Indian","7.71"
"Small employers and own account workers","Pakistani","7.19"
"Small employers and own account workers","Asian other","7.29"
"Small employers and own account workers","Black","7.34"
"Small employers and own account workers","Mixed","7.00"
"Small employers and own account workers","White","7.55"
"Small employers and own account workers","Other","7.47"
"Small employers and own account workers","Arab","?"
"Small employers and own account workers","Gypsy / Traveller / Irish Traveller","?"
"Lower supervisory and technical","All","7.44"
"Lower supervisory and technical","Bangladeshi","7.70"
"Lower supervisory and technical","Chinese","?"
"Lower supervisory and technical","Indian","7.71"
"Lower supervisory and technical","Pakistani","7.65"
"Lower supervisory and technical","Asian other","7.44"
"Lower supervisory and technical","Black","7.53"
"Lower supervisory and technical","Mixed","7.02"
"Lower supervisory and technical","White","7.43"
"Lower supervisory and technical","Other","7.82"
"Lower supervisory and technical","Arab","?"
"Lower supervisory and technical","Gypsy / Traveller / Irish Traveller","?"
"Semi-routine occupations","All","7.35"
"Semi-routine occupations","Bangladeshi","7.11"
"Semi-routine occupations","Chinese","7.72"
"Semi-routine occupations","Indian","7.42"
"Semi-routine occupations","Pakistani","7.38"
"Semi-routine occupations","Asian other","7.52"
"Semi-routine occupations","Black","7.22"
"Semi-routine occupations","Mixed","7.21"
"Semi-routine occupations","White","7.35"
"Semi-routine occupations","Other","7.59"
"Semi-routine occupations","Arab","6.79"
"Semi-routine occupations","Gypsy / Traveller / Irish Traveller","?"
"Routine occupations","All","7.33"
"Routine occupations","Bangladeshi","7.62"
"Routine occupations","Chinese","?"
"Routine occupations","Indian","7.71"
"Routine occupations","Pakistani","7.53"
"Routine occupations","Asian other","7.73"
"Routine occupations","Black","7.34"
"Routine occupations","Mixed","7.27"
"Routine occupations","White","7.31"
"Routine occupations","Other","7.51"
"Routine occupations","Arab","?"
"Routine occupations","Gypsy / Traveller / Irish Traveller","?"
"Never worked, unemployed, and nec","All","7.36"
"Never worked, unemployed, and nec","Bangladeshi","7.57"
"Never worked, unemployed, and nec","Chinese","7.62"
"Never worked, unemployed, and nec","Indian","7.53"
"Never worked, unemployed, and nec","Pakistani","7.33"
"Never worked, unemployed, and nec","Asian other","7.47"
"Never worked, unemployed, and nec","Black","7.18"
"Never worked, unemployed, and nec","Mixed","6.97"
"Never worked, unemployed, and nec","White","7.36"
"Never worked, unemployed, and nec","Other","7.25"
"Never worked, unemployed, and nec","Arab","6.90"
"Never worked, unemployed, and nec","Gypsy / Traveller / Irish Traveller","?"
