"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Denominator","Lower 95% C.I","Upper 95% C.I."
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Financial year","England","Country","E92000001","Persons","16+ yrs","57.91134781","%","162,120","57.67366241","58.14851202"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Financial year","England","Country","E92000001","Persons","16+ yrs","58.29825699","%","9,595","57.31767698","59.2701156"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Financial year","England","Country","E92000001","Persons","16+ yrs","47.53846829","%","7,361","46.39632136","48.68001293"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Financial year","England","Country","E92000001","Persons","16+ yrs","46.37483217","%","2,583","44.44790735","48.30146954"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Financial year","England","Country","E92000001","Persons","16+ yrs","57.20364681","%","996","54.12785383","60.20306133"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Financial year","England","Country","E92000001","Persons","16+ yrs","53.31394723","%","1,888","51.06453188","55.53948654"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Financial year","England","Country","E92000001","Persons","16+ yrs","59.68923952","%","1,385","57.09354522","62.22402312"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","All","All","2015/16","Financial year","England","Country","E92000001","Persons","16+ yrs","56.82384181","%","191,464","56.6045126","57.04275624"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2016/17","Financial year","England","Country","E92000001","Persons","16+ yrs","58.4426716","%","157,989","58.20219315","58.6826021"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2016/17","Financial year","England","Country","E92000001","Persons","16+ yrs","58.2805619","%","9,909","57.31701311","59.23541694"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2016/17","Financial year","England","Country","E92000001","Persons","16+ yrs","48.85073169","%","7,538","47.72207161","49.97767545"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2016/17","Financial year","England","Country","E92000001","Persons","16+ yrs","45.72261241","%","2,687","43.83404484","47.61229571"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2016/17","Financial year","England","Country","E92000001","Persons","16+ yrs","51.07309322","%","988","47.96909831","54.11671861"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2016/17","Financial year","England","Country","E92000001","Persons","16+ yrs","56.016903","%","1,981","53.82126723","58.18957973"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2016/17","Financial year","England","Country","E92000001","Persons","16+ yrs","57.05566524","%","1,331","54.40942231","59.63725949"
"Percentage of adults (aged 16+) eating the recommended 5 or more portions of fruit and vegetables on a usual day","All","All","2016/17","Financial year","England","Country","E92000001","Persons","16+ yrs","57.43897629","%","188,668","57.21832439","57.65919446"
