"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Gender_type","Destination","Value","Value_type","Denominator","Numerator"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education or employment","88","% of cohort","275,915","244,065"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Mixed","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education or employment","86","% of cohort","13,275","11,460"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Asian","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education or employment","88","% of cohort","33,740","29,665"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education or employment","89","% of cohort","18,845","16,710"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Other (incl. Chinese)","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education or employment","88","% of cohort","7,095","6,250"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unknown","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education or employment","80","% of cohort","14,065","11,190"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White British","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education or employment","89","% of cohort","262,430","232,545"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White Irish ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education or employment","88","% of cohort","1,365","1,200"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Traveller of Irish heritage","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education or employment","95","% of cohort","20","20"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Gypsy/Roma ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education or employment","72","% of cohort","85","60"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other White background ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education or employment","85","% of cohort","12,015","10,240"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black Caribbean ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education or employment","86","% of cohort","3,885","3,350"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black African ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education or employment","85","% of cohort","1,430","1,220"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Asian ","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education or employment","87","% of cohort","3,105","2,715"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other mixed background","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education or employment","86","% of cohort","4,860","4,175"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Indian","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education or employment","90","% of cohort","10,970","9,880"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Pakistani","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education or employment","85","% of cohort","11,745","9,990"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Bangladeshi","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education or employment","88","% of cohort","5,285","4,675"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Asian background","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education or employment","89","% of cohort","5,740","5,115"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black Caribbean","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education or employment","86","% of cohort","5,130","4,440"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black African","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education or employment","90","% of cohort","11,745","10,575"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Black background","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education or employment","86","% of cohort","1,965","1,695"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Chinese","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education or employment","91","% of cohort","2,120","1,935"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other ethnic group","DfE","2014/15","Academic year","England","ONS geography code","E92000001","All","All","Education or employment","87","% of cohort","4,975","4,315"
