"Destination","Ethnicity","%"
"Education, employment or training","All","89"
"Education, employment or training","Asian","89"
"Education, employment or training","Bangladeshi","90"
"Education, employment or training","Indian","91"
"Education, employment or training","Pakistani","86"
"Education, employment or training","Asian other","89"
"Education, employment or training","Black","90"
"Education, employment or training","Black African","91"
"Education, employment or training","Black Caribbean","88"
"Education, employment or training","Black other","89"
"Education, employment or training","Chinese","92"
"Education, employment or training","Mixed","88"
"Education, employment or training","Mixed White/Asian","89"
"Education, employment or training","Mixed White/Black African","88"
"Education, employment or training","Mixed White/Black Caribbean","88"
"Education, employment or training","Mixed other","88"
"Education, employment or training","White","90"
"Education, employment or training","White British","90"
"Education, employment or training","White Irish","89"
"Education, employment or training","White Irish Traveller","65"
"Education, employment or training","White Gypsy/Roma","78"
"Education, employment or training","White other","86"
"Education, employment or training","Other","88"
"Education, employment or training","Unknown","80"
"Education","All","66"
"Education","Asian","79"
"Education","Bangladeshi","81"
"Education","Indian","82"
"Education","Pakistani","77"
"Education","Asian other","79"
"Education","Black","79"
"Education","Black African","83"
"Education","Black Caribbean","71"
"Education","Black other","77"
"Education","Chinese","86"
"Education","Mixed","69"
"Education","Mixed White/Asian","72"
"Education","Mixed White/Black African","72"
"Education","Mixed White/Black Caribbean","64"
"Education","Mixed other","71"
"Education","White","63"
"Education","White British","63"
"Education","White Irish","69"
"Education","White Irish Traveller","45"
"Education","White Gypsy/Roma","41"
"Education","White other","69"
"Education","Other","77"
"Education","Unknown","62"
"Employment","All","23"
"Employment","Asian","9"
"Employment","Bangladeshi","9"
"Employment","Indian","9"
"Employment","Pakistani","10"
"Employment","Asian other","10"
"Employment","Black","11"
"Employment","Black African","8"
"Employment","Black Caribbean","17"
"Employment","Black other","12"
"Employment","Chinese","5"
"Employment","Mixed","19"
"Employment","Mixed White/Asian","17"
"Employment","Mixed White/Black African","16"
"Employment","Mixed White/Black Caribbean","24"
"Employment","Mixed other","17"
"Employment","White","26"
"Employment","White British","27"
"Employment","White Irish","20"
"Employment","White Irish Traveller","20"
"Employment","White Gypsy/Roma","38"
"Employment","White other","17"
"Employment","Other","11"
"Employment","Unknown","18"
"No sustained education/employment","All","8"
"No sustained education/employment","Asian","7"
"No sustained education/employment","Bangladeshi","7"
"No sustained education/employment","Indian","6"
"No sustained education/employment","Pakistani","9"
"No sustained education/employment","Asian other","7"
"No sustained education/employment","Black","7"
"No sustained education/employment","Black African","5"
"No sustained education/employment","Black Caribbean","9"
"No sustained education/employment","Black other","8"
"No sustained education/employment","Chinese","4"
"No sustained education/employment","Mixed","8"
"No sustained education/employment","Mixed White/Asian","8"
"No sustained education/employment","Mixed White/Black African","9"
"No sustained education/employment","Mixed White/Black Caribbean","9"
"No sustained education/employment","Mixed other","8"
"No sustained education/employment","White","8"
"No sustained education/employment","White British","8"
"No sustained education/employment","White Irish","8"
"No sustained education/employment","White Irish Traveller","20"
"No sustained education/employment","White Gypsy/Roma","19"
"No sustained education/employment","White other","8"
"No sustained education/employment","Other","7"
"No sustained education/employment","Unknown","8"
"Unknown","All","3"
"Unknown","Asian","4"
"Unknown","Bangladeshi","3"
"Unknown","Indian","3"
"Unknown","Pakistani","5"
"Unknown","Asian other","4"
"Unknown","Black","3"
"Unknown","Black African","3"
"Unknown","Black Caribbean","3"
"Unknown","Black other","3"
"Unknown","Chinese","5"
"Unknown","Mixed","3"
"Unknown","Mixed White/Asian","3"
"Unknown","Mixed White/Black African","3"
"Unknown","Mixed White/Black Caribbean","3"
"Unknown","Mixed other","4"
"Unknown","White","3"
"Unknown","White British","3"
"Unknown","White Irish","3"
"Unknown","White Irish Traveller","15"
"Unknown","White Gypsy/Roma","3"
"Unknown","White other","5"
"Unknown","Other","5"
"Unknown","Unknown","11"
