"Title","Destinations of students after key stage 5 (usually aged 18 years)"
"Location","England"
"Time period","2014/15"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/collections/statistics-destinations"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-05"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Destination","Value","Denominator","Numerator"
"Percentage of students staying in education or employment for at least two terms after 16 to 18 study  (A level or other level 3 qualifications)","2014/15","Academic year","White","ONS 5+1 (Chinese in 'other')","E92000001","ONS geography code","All","All","Education or employment","88","275915","244065"
"Percentage of students staying in education or employment for at least two terms after 16 to 18 study  (A level or other level 3 qualifications)","2014/15","Academic year","Mixed","ONS 5+1 (Chinese in 'other')","E92000001","ONS geography code","All","All","Education or employment","86","13275","11460"
"Percentage of students staying in education or employment for at least two terms after 16 to 18 study  (A level or other level 3 qualifications)","2014/15","Academic year","Asian","ONS 5+1 (Chinese in 'other')","E92000001","ONS geography code","All","All","Education or employment","88","33740","29665"
"Percentage of students staying in education or employment for at least two terms after 16 to 18 study  (A level or other level 3 qualifications)","2014/15","Academic year","Black","ONS 5+1 (Chinese in 'other')","E92000001","ONS geography code","All","All","Education or employment","89","18845","16710"
"Percentage of students staying in education or employment for at least two terms after 16 to 18 study  (A level or other level 3 qualifications)","2014/15","Academic year","Other (incl. Chinese)","ONS 5+1 (Chinese in 'other')","E92000001","ONS geography code","All","All","Education or employment","88","7095","6250"
"Percentage of students staying in education or employment for at least two terms after 16 to 18 study  (A level or other level 3 qualifications)","2014/15","Academic year","Unclassified","ONS 5+1 (Chinese in 'other')","E92000001","ONS geography code","All","All","Education or employment","80","14065","11190"
"Percentage of students staying in education or employment for at least two terms after 16 to 18 study  (A level or other level 3 qualifications)","2014/15","Academic year","White - British","ONS 18+1","E92000001","ONS geography code","All","All","Education or employment","89","262430","232545"
"Percentage of students staying in education or employment for at least two terms after 16 to 18 study  (A level or other level 3 qualifications)","2014/15","Academic year","White - Irish ","ONS 18+1","E92000001","ONS geography code","All","All","Education or employment","88","1365","1200"
"Percentage of students staying in education or employment for at least two terms after 16 to 18 study  (A level or other level 3 qualifications)","2014/15","Academic year","Traveller of Irish heritage","ONS 18+1","E92000001","ONS geography code","All","All","Education or employment","95","20","20"
"Percentage of students staying in education or employment for at least two terms after 16 to 18 study  (A level or other level 3 qualifications)","2014/15","Academic year","Gypsy / Roma ","ONS 18+1","E92000001","ONS geography code","All","All","Education or employment","72","85","60"
"Percentage of students staying in education or employment for at least two terms after 16 to 18 study  (A level or other level 3 qualifications)","2014/15","Academic year","Any other White background ","ONS 18+1","E92000001","ONS geography code","All","All","Education or employment","85","12015","10240"
"Percentage of students staying in education or employment for at least two terms after 16 to 18 study  (A level or other level 3 qualifications)","2014/15","Academic year","White and Black Caribbean ","ONS 18+1","E92000001","ONS geography code","All","All","Education or employment","86","3885","3350"
