"Title","Police workforce by ethnicity and area"
"Location","England and Wales"
"Time period","2016"
"Data source","Police workforce, England and Wales https://www.gov.uk/government/statistics/police-workforce-england-and-wales-31-march-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Time","Time_type","Ethnicity","Geography","FTE","Headcount","Population by ethnicity, gender, and PFA (based on 2011 Census)","Value","Proportion of workforce of this ethnicity in this aggregated rank, in this year, and this PFA (excludes unreported)","Proportion of population of this ethnicity in this PFA (based on 2011 Census)"
"2016","As at 31st March","Asian","All - including BTP","2,982","3,027","3,820,390","78","2%","7%"
"2016","As at 31st March","Asian","Avon & Somerset","8","8","33,005","24","0%","2%"
"2016","As at 31st March","Asian","Bedfordshire","37","38","81,480","45","3%","13%"
"2016","As at 31st March","Asian","Cambridgeshire","11","11","39,535","28","1%","5%"
"2016","As at 31st March","Asian","Cheshire","7","7","12,794","55","0%","1%"
"2016","As at 31st March","Asian","Cleveland","14","15","17,419","83","1%","3%"
"2016","As at 31st March","Asian","Cumbria","4","4","2,913","137","0%","1%"
"2016","As at 31st March","Asian","Derbyshire","41","41","36,871","110","2%","4%"
"2016","As at 31st March","Asian","Devon & Cornwall","4","4","11,694","32","0%","1%"
"2016","As at 31st March","Asian","Dorset","2","2","10,694","19","0%","1%"
"2016","As at 31st March","Asian","Durham","6","6","5,114","117","1%","1%"
"2016","As at 31st March","Asian","Dyfed-Powys","2","2","4,274","47","0%","1%"
"2016","As at 31st March","Asian","Essex","8","8","38,954","21","0%","2%"
"2016","As at 31st March","Asian","Gloucestershire","6","6","10,522","52","1%","2%"
"2016","As at 31st March","Asian","Greater Manchester","131","132","246,094","53","2%","9%"
"2016","As at 31st March","Asian","Gwent","7","7","10,076","69","1%","2%"
"2016","As at 31st March","Asian","Hampshire","24","26","57,352","43","1%","3%"
"2016","As at 31st March","Asian","Hertfordshire","34","34","64,119","53","2%","6%"
"2016","As at 31st March","Asian","Humberside","5","5","12,191","41","0%","1%"
"2016","As at 31st March","Asian","Kent","36","36","54,186","66","1%","3%"
"2016","As at 31st March","Asian","Lancashire","59","62","108,784","54","2%","7%"
"2016","As at 31st March","Asian","Leicestershire","86","88","155,740","55","5%","15%"
"2016","As at 31st March","Asian","Lincolnshire","5","5","5,579","90","0%","1%"
"2016","As at 31st March","Asian","London, City of","16","16","N/A","N/A","2%","9%"
"2016","As at 31st March","Asian","Merseyside","11","11","18,851","58","0%","1%"
"2016","As at 31st March","Asian","Metropolitan Police","1,526","1,546","1,386,619","110","5%","17%"
"2016","As at 31st March","Asian","Norfolk","3","3","9,809","31","0%","1%"
"2016","As at 31st March","Asian","North Wales","2","2","6,336","32","0%","1%"
"2016","As at 31st March","Asian","North Yorkshire","4","4","9,914","40","0%","1%"
"2016","As at 31st March","Asian","Northamptonshire","11","13","22,581","51","1%","3%"
"2016","As at 31st March","Asian","Northumbria","14","14","37,782","37","0%","3%"
"2016","As at 31st March","Asian","Nottinghamshire","40","41","48,248","83","2%","4%"
"2016","As at 31st March","Asian","South Wales","13","13","35,804","36","0%","3%"
"2016","As at 31st March","Asian","South Yorkshire","44","44","54,660","80","2%","4%"
"2016","As at 31st March","Asian","Staffordshire","10","10","35,148","28","1%","3%"
"2016","As at 31st March","Asian","Suffolk","2","2","10,972","18","0%","2%"
"2016","As at 31st March","Asian","Surrey","21","22","54,037","39","1%","5%"
"2016","As at 31st March","Asian","Sussex","7","7","40,865","16","0%","3%"
"2016","As at 31st March","Asian","Thames Valley","72","73","192,541","37","2%","8%"
"2016","As at 31st March","Asian","Warwickshire","29","29","22,747","126","4%","4%"
"2016","As at 31st March","Asian","West Mercia","16","16","21,715","74","1%","2%"
"2016","As at 31st March","Asian","West Midlands","368","372","493,551","74","5%","18%"
"2016","As at 31st March","Asian","West Yorkshire","130","132","280,764","46","3%","13%"
"2016","As at 31st March","Asian","Wiltshire","8","8","17,379","46","1%","3%"
"2016","As at 31st March","Black","All - including BTP","1,504","1,525","1,864,890","81","1%","3%"
"2016","As at 31st March","Black","Avon & Somerset","14","14","30,923","45","1%","2%"
"2016","As at 31st March","Black","Bedfordshire","13","13","29,725","44","1%","5%"
"2016","As at 31st March","Black","Cambridgeshire","4","4","10,174","37","0%","1%"
"2016","As at 31st March","Black","Cheshire","0","0","3,264","0","0%","0%"
"2016","As at 31st March","Black","Cleveland","1","1","3,156","32","0%","1%"
"2016","As at 31st March","Black","Cumbria","2","2","579","345","0%","0%"
"2016","As at 31st March","Black","Derbyshire","5","5","10,090","47","0%","1%"
"2016","As at 31st March","Black","Devon & Cornwall","7","7","4,106","168","0%","0%"
"2016","As at 31st March","Black","Dorset","2","2","3,208","62","0%","0%"
"2016","As at 31st March","Black","Durham","1","1","1,058","95","0%","0%"
"2016","As at 31st March","Black","Dyfed-Powys","1","1","856","117","0%","0%"
"2016","As at 31st March","Black","Essex","5","5","34,679","14","0%","2%"
"2016","As at 31st March","Black","Gloucestershire","4","4","5,150","78","0%","1%"
"2016","As at 31st March","Black","Greater Manchester","41","41","74,097","55","1%","3%"
"2016","As at 31st March","Black","Gwent","5","5","3,185","157","0%","1%"
"2016","As at 31st March","Black","Hampshire","6","6","17,445","33","0%","1%"
"2016","As at 31st March","Black","Hertfordshire","12","12","31,401","38","1%","3%"
"2016","As at 31st March","Black","Humberside","6","6","4,499","133","0%","0%"
"2016","As at 31st March","Black","Kent","6","6","22,879","26","0%","1%"
"2016","As at 31st March","Black","Lancashire","3","3","5,377","56","0%","0%"
"2016","As at 31st March","Black","Leicestershire","16","16","24,623","63","1%","2%"
"2016","As at 31st March","Black","Lincolnshire","6","6","2,561","229","1%","0%"
"2016","As at 31st March","Black","London, City of","11","11","N/A","N/A","2%","3%"
"2016","As at 31st March","Black","Merseyside","20","20","14,552","137","1%","1%"
"2016","As at 31st March","Black","Metropolitan Police","978","992","1,088,447","90","3%","13%"
"2016","As at 31st March","Black","Norfolk","7","7","4,609","152","0%","1%"
"2016","As at 31st March","Black","North Wales","1","1","1,497","67","0%","0%"
"2016","As at 31st March","Black","North Yorkshire","0","0","3,618","0","0%","0%"
"2016","As at 31st March","Black","Northamptonshire","14","15","16,923","84","1%","2%"
"2016","As at 31st March","Black","Northumbria","5","5","9,006","56","0%","1%"
"2016","As at 31st March","Black","Nottinghamshire","17","17","27,287","62","1%","2%"
"2016","As at 31st March","Black","South Wales","5","5","12,738","39","0%","1%"
