"Title","Economic inactivity for 16 to 24 year olds over time"
"Location","England, Wales and Scotland"
"Time period","2004 to 2016"
"Data source","Annual Population Survey https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"DATE","ECON_STATUS","REGION","ETHNICITY","SEX","AGE_BAND","AGE_GROUP","NUMERATOR","DENOMINATOR","SAMP_SIZE","Value","CONFIDENCE_INTERVAL"
"2004","Inactive","All","All","All","16-24","16-64","2,100,000","6,587,958","15,681","32","0.7"
"2004","Inactive","All","White British","All","16-24","16-64","1,574,000","5,455,359","12,852","29","1.2"
"2004","Inactive","All","White Other","All","16-24","16-64","94,000","265,332","572","36","6.2"
"2004","Inactive","All","Black","All","16-24","16-64","84,000","178,148","380","47","7.9"
"2004","Inactive","All","Mixed","All","16-24","16-64","44,000","111,551","256","39","9.4"
"2004","Inactive","All","Indian","All","16-24","16-64","75,000","165,078","399","46","7.7"
"2004","Inactive","All","Pakistani/Bangladeshi","All","16-24","16-64","118,000","212,124","660","56","6"
"2004","Inactive","All","Other Asian","All","16-24","16-64","59,000","104,339","303","57","8.8"
"2004","Inactive","All","Other","All","16-24","16-64","49,000","89,242","239","55","10"
"2005","Inactive","All","All","All","16-24","16-64","2,169,000","6,705,543","14,847","32","0.8"
"2005","Inactive","All","White British","All","16-24","16-64","1,617,000","5,504,804","12,094","29","1.3"
"2005","Inactive","All","White Other","All","16-24","16-64","88,000","299,594","521","30","6.2"
"2005","Inactive","All","Black","All","16-24","16-64","91,000","182,637","372","50","8"
"2005","Inactive","All","Mixed","All","16-24","16-64","45,000","110,029","240","41","9.8"
"2005","Inactive","All","Indian","All","16-24","16-64","79,000","161,402","388","49","7.9"
"2005","Inactive","All","Pakistani/Bangladeshi","All","16-24","16-64","126,000","230,753","643","55","6.1"
"2005","Inactive","All","Other Asian","All","16-24","16-64","64,000","106,542","317","60","8.5"
"2005","Inactive","All","Other","All","16-24","16-64","55,000","103,773","259","53","9.6"
"2006","Inactive","All","All","All","16-24","16-64","2,224,000","6,799,515","11,399","33","0.9"
"2006","Inactive","All","White British","All","16-24","16-64","1,672,000","5,505,154","9,023","30","1.5"
"2006","Inactive","All","White Other","All","16-24","16-64","98,000","368,087","460","27","6.4"
"2006","Inactive","All","Black","All","16-24","16-64","94,000","197,706","360","48","8.2"
"2006","Inactive","All","Mixed","All","16-24","16-64","41,000","106,996","193","38","10.8"
"2006","Inactive","All","Indian","All","16-24","16-64","71,000","161,931","312","44","8.7"
"2006","Inactive","All","Pakistani/Bangladeshi","All","16-24","16-64","119,000","231,118","529","52","6.7"
"2006","Inactive","All","Other Asian","All","16-24","16-64","59,000","98,446","240","60","9.8"
"2006","Inactive","All","Other","All","16-24","16-64","65,000","122,681","266","53","9.5"
"2007","Inactive","All","All","All","16-24","16-64","2,314,000","6,927,147","11,612","33","0.9"
"2007","Inactive","All","White British","All","16-24","16-64","1,706,000","5,590,887","9,028","31","1.5"
"2007","Inactive","All","White Other","All","16-24","16-64","120,000","383,389","555","31","6.1"
"2007","Inactive","All","Black","All","16-24","16-64","97,000","198,036","372","49","8"
"2007","Inactive","All","Mixed","All","16-24","16-64","43,000","111,430","194","39","10.8"
"2007","Inactive","All","Indian","All","16-24","16-64","74,000","163,750","333","45","8.4"
