Date,Date type,Region,Region type,Ethnicity,Ethnicity type,Numerator,Numerator type,Denominator,Denominator type,Value,Rate type
2011,Calendar Year,East,Government Region,All,All,"111,970",Average number of claimants a month matching geographic and ethnicity status,"3,719,075",Number of people in the population matching geographic and ethnicity status,3,Percentage of Numerator / Denominator
2012,Calendar Year,East,Government Region,All,All,"115,128",Average number of claimants a month matching geographic and ethnicity status,"3,708,367",Number of people in the population matching geographic and ethnicity status,3.1,Percentage of Numerator / Denominator
2013,Calendar Year,East,Government Region,All,All,"101,719",Average number of claimants a month matching geographic and ethnicity status,"3,712,614",Number of people in the population matching geographic and ethnicity status,2.7,Percentage of Numerator / Denominator
2014,Calendar Year,East,Government Region,All,All,"68,660",Average number of claimants a month matching geographic and ethnicity status,"3,733,587",Number of people in the population matching geographic and ethnicity status,1.8,Percentage of Numerator / Denominator
2015,Calendar Year,East,Government Region,All,All,"47,735",Average number of claimants a month matching geographic and ethnicity status,"3,755,306",Number of people in the population matching geographic and ethnicity status,1.3,Percentage of Numerator / Denominator
2011,Calendar Year,East Midlands,Government Region,All,All,"103,281",Average number of claimants a month matching geographic and ethnicity status,"2,919,158",Number of people in the population matching geographic and ethnicity status,3.5,Percentage of Numerator / Denominator
2012,Calendar Year,East Midlands,Government Region,All,All,"108,969",Average number of claimants a month matching geographic and ethnicity status,"2,912,231",Number of people in the population matching geographic and ethnicity status,3.7,Percentage of Numerator / Denominator
2013,Calendar Year,East Midlands,Government Region,All,All,"95,619",Average number of claimants a month matching geographic and ethnicity status,"2,912,966",Number of people in the population matching geographic and ethnicity status,3.3,Percentage of Numerator / Denominator
2014,Calendar Year,East Midlands,Government Region,All,All,"67,860",Average number of claimants a month matching geographic and ethnicity status,"2,923,197",Number of people in the population matching geographic and ethnicity status,2.3,Percentage of Numerator / Denominator
2015,Calendar Year,East Midlands,Government Region,All,All,"48,322",Average number of claimants a month matching geographic and ethnicity status,"2,937,792",Number of people in the population matching geographic and ethnicity status,1.6,Percentage of Numerator / Denominator
2011,Calendar Year,All,England and Wales,All,All,"1,333,765",Average number of claimants a month matching geographic and ethnicity status,"36,288,896",Number of people in the population matching geographic and ethnicity status,3.7,Percentage of Numerator / Denominator
2012,Calendar Year,All,England and Wales,All,All,"1,381,352",Average number of claimants a month matching geographic and ethnicity status,"36,238,632",Number of people in the population matching geographic and ethnicity status,3.8,Percentage of Numerator / Denominator
2013,Calendar Year,All,England and Wales,All,All,"1,230,049",Average number of claimants a month matching geographic and ethnicity status,"36,278,017",Number of people in the population matching geographic and ethnicity status,3.4,Percentage of Numerator / Denominator
2014,Calendar Year,All,England and Wales,All,All,"879,519",Average number of claimants a month matching geographic and ethnicity status,"36,397,802",Number of people in the population matching geographic and ethnicity status,2.4,Percentage of Numerator / Denominator
2015,Calendar Year,All,England and Wales,All,All,"622,838",Average number of claimants a month matching geographic and ethnicity status,"36,588,665",Number of people in the population matching geographic and ethnicity status,1.7,Percentage of Numerator / Denominator
2011,Calendar Year,London,Government Region,All,All,"227,700",Average number of claimants a month matching geographic and ethnicity status,"5,664,416",Number of people in the population matching geographic and ethnicity status,4,Percentage of Numerator / Denominator
2012,Calendar Year,London,Government Region,All,All,"226,511",Average number of claimants a month matching geographic and ethnicity status,"5,703,747",Number of people in the population matching geographic and ethnicity status,4,Percentage of Numerator / Denominator
2013,Calendar Year,London,Government Region,All,All,"201,923",Average number of claimants a month matching geographic and ethnicity status,"5,756,205",Number of people in the population matching geographic and ethnicity status,3.5,Percentage of Numerator / Denominator
2014,Calendar Year,London,Government Region,All,All,"147,862",Average number of claimants a month matching geographic and ethnicity status,"5,823,490",Number of people in the population matching geographic and ethnicity status,2.5,Percentage of Numerator / Denominator
2015,Calendar Year,London,Government Region,All,All,"111,757",Average number of claimants a month matching geographic and ethnicity status,"5,907,762",Number of people in the population matching geographic and ethnicity status,1.9,Percentage of Numerator / Denominator
