"Time","Ethnicity","Rate"
"2006/07","All","17.8"
"2006/07","Asian","18.8"
"2006/07","Bangladeshi","26.3"
"2006/07","Indian","12.4"
"2006/07","Pakistani","22.5"
"2006/07","Any other Asian","20.5"
"2006/07","Black","64.7"
"2006/07","Black African","34.2"
"2006/07","Black Caribbean","98.3"
"2006/07","Any other Black background","101.1"
"2006/07","Mixed","19.2"
"2006/07","Mixed White and Asian","7.0"
"2006/07","Mixed White and Black African","13.3"
"2006/07","Mixed White and Black caribbean","30.1"
"2006/07","Any other mixed/multiple ethnic background","21.0"
"2006/07","White","14.0"
"2006/07","White British","14.0"
"2006/07","White Irish","11.9"
"2006/07","Any other White background","13.5"
"2006/07","Other","10.0"
"2006/07","Other - Chinese","6.7"
"2006/07","Other - Any other","12.4"
"2007/08","All","19.5"
"2007/08","Asian","22.9"
"2007/08","Bangladeshi","36.5"
"2007/08","Indian","14.0"
"2007/08","Pakistani","25.9"
"2007/08","Any other Asian","26.8"
"2007/08","Black","77.8"
"2007/08","Black African","42.5"
"2007/08","Black Caribbean","113.0"
"2007/08","Any other Black background","127.3"
"2007/08","Mixed","22.7"
"2007/08","Mixed White and Asian","7.9"
"2007/08","Mixed White and Black African","16.4"
"2007/08","Mixed White and Black caribbean","33.7"
"2007/08","Any other mixed/multiple ethnic background","27.4"
"2007/08","White","15.5"
"2007/08","White British","15.3"
"2007/08","White Irish","14.0"
"2007/08","Any other White background","19.6"
"2007/08","Other","14.2"
"2007/08","Other - Chinese","8.7"
"2007/08","Other - Any other","18.1"
"2008/09","All","23.2"
"2008/09","Asian","31.8"
"2008/09","Bangladeshi","57.9"
"2008/09","Indian","18.7"
"2008/09","Pakistani","32.3"
"2008/09","Any other Asian","39.5"
"2008/09","Black","116.0"
"2008/09","Black African","68.7"
"2008/09","Black Caribbean","159.4"
"2008/09","Any other Black background","190.6"
"2008/09","Mixed","30.9"
"2008/09","Mixed White and Asian","10.6"
"2008/09","Mixed White and Black African","23.1"
"2008/09","Mixed White and Black caribbean","45.7"
"2008/09","Any other mixed/multiple ethnic background","37.4"
"2008/09","White","17.3"
"2008/09","White British","16.6"
"2008/09","White Irish","17.7"
"2008/09","Any other White background","29.3"
"2008/09","Other","17.5"
"2008/09","Other - Chinese","9.7"
"2008/09","Other - Any other","22.9"
"2009/10","All","22.5"
"2009/10","Asian","33.7"
"2009/10","Bangladeshi","63.4"
"2009/10","Indian","19.5"
"2009/10","Pakistani","34.5"
"2009/10","Any other Asian","40.8"
"2009/10","Black","110.0"
"2009/10","Black African","65.9"
"2009/10","Black Caribbean","145.9"
"2009/10","Any other Black background","189.7"
"2009/10","Mixed","32.0"
"2009/10","Mixed White and Asian","10.7"
"2009/10","Mixed White and Black African","25.4"
"2009/10","Mixed White and Black caribbean","46.7"
"2009/10","Any other mixed/multiple ethnic background","39.3"
"2009/10","White","16.9"
"2009/10","White British","16.1"
"2009/10","White Irish","16.5"
"2009/10","Any other White background","31.6"
"2009/10","Other","16.1"
"2009/10","Other - Chinese","8.4"
"2009/10","Other - Any other","21.4"
"2010/11","All","22.5"
"2010/11","Asian","35.9"
