"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Source of Referral","Value","Numerator"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Internal transfer","13.3","33333"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Irish","ONS 18+1","Internal transfer","15.4","275"
"Percentage of new lettings by source of referral","2016/17","Financial Year","White: Other","ONS 18+1","Internal transfer","8.3","1032"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Internal transfer","10.7","483"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Black African","ONS 18+1","Internal transfer","12.1","188"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: White & Asian","ONS 18+1","Internal transfer","9.6","112"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Mixed: Other","ONS 18+1","Internal transfer","9.8","215"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Indian","ONS 18+1","Internal transfer","10.9","259"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Internal transfer","8.9","426"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Internal transfer","11.7","331"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Other","ONS 18+1","Internal transfer","9.8","381"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Internal transfer","14.4","1085"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Internal transfer","12.2","1471"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Internal transfer","16.6","488"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Internal transfer","11.3","54"
"Percentage of new lettings by source of referral","2016/17","Financial Year","Other Ethnic group: Other","ONS 18+1","Internal transfer","9","395"
