"Title","Persistent absence by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Statistics: pupil absence"
"Data source link","https://www.gov.uk/government/collections/statistics-pupil-absence"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Ethnicity","%","Enrolmemts"
"All","10.5","707,390"
"Asian","9.7","68,025"
"Bangladeshi","10.6","11,830"
"Indian","6.1","11,460"
"Pakistani","12.6","36,105"
"Asian other","7.5","8,630"
"Black","7.0","26,555"
"Black African","5.1","12,565"
"Black Caribbean","11.7","9,750"
"Black other","8.5","4,235"
"Chinese","3.1","825"
"Mixed","12.1","43,145"
"Mixed White/Asian","9.9","8,125"
"Mixed White/Black African","10.2","4,795"
"Mixed White/Black Caribbean","15.7","15,725"
"Mixed other","11.3","14,505"
"White","10.7","542,530"
"White British","10.4","480,080"
"White Irish","13.8","2,745"
"White Irish Traveller","63.2","3,645"
"White Gypsy/Roma","48.0","11,810"
"White other","11.5","44,245"
"Other","10.0","11,785"
"Unknown","16.4","14,525"
