"Title","Overall absence by ethnicity and type of school"
"Location","England"
"Time period","2015/16"
"Data source","Statistics: pupil absence"
"Data source link","https://www.gov.uk/government/collections/statistics-pupil-absence"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"school_type","Ethnicity","%","Sessions"
"Primary","All","4.0","55,102,906"
"Primary","Asian","4.5","6,497,357"
"Primary","Bangladeshi","5.0","1,141,375"
"Primary","Indian","3.6","1,399,239"
"Primary","Pakistani","5.1","3,025,931"
"Primary","Asian other","3.8","930,812"
"Primary","Black","3.1","2,412,956"
"Primary","Black African","2.8","1,433,387"
"Primary","Black Caribbean","4.1","630,888"
"Primary","Black other","3.4","348,681"
"Primary","Chinese","2.5","148,223"
"Primary","Mixed","4.3","3,378,331"
"Primary","Mixed White/Asian","4.0","737,050"
"Primary","Mixed White/Black African","3.9","417,957"
"Primary","Mixed White/Black Caribbean","4.8","1,012,005"
"Primary","Mixed other","4.3","1,211,319"
"Primary","White","4.0","41,039,657"
"Primary","White British","3.9","36,130,383"
"Primary","White Irish","4.7","176,884"
"Primary","White Irish Traveller","17.6","230,227"
"Primary","White Gypsy/Roma","11.6","589,436"
"Primary","White other","4.5","3,912,727"
"Primary","Other","4.4","1,077,347"
"Primary","Unknown","4.8","549,035"
"Secondary","All","5.2","51,712,506"
"Secondary","Asian","4.6","4,569,080"
"Secondary","Bangladeshi","4.8","796,712"
"Secondary","Indian","3.6","958,467"
"Secondary","Pakistani","5.5","2,223,154"
"Secondary","Asian other","3.7","590,747"
"Secondary","Black","3.7","1,981,647"
"Secondary","Black African","3.2","1,052,357"
"Secondary","Black Caribbean","4.9","661,722"
"Secondary","Black other","4.0","267,568"
"Secondary","Chinese","2.2","76,358"
"Secondary","Mixed","5.6","2,597,895"
"Secondary","Mixed White/Asian","5.0","532,647"
"Secondary","Mixed White/Black African","5.1","290,525"
"Secondary","Mixed White/Black Caribbean","6.5","909,589"
"Secondary","Mixed other","5.3","865,134"
"Secondary","White","5.4","40,987,008"
"Secondary","White British","5.3","37,846,176"
"Secondary","White Irish","5.7","180,397"
"Secondary","White Irish Traveller","18.2","69,931"
"Secondary","White Gypsy/Roma","14.6","377,253"
"Secondary","White other","5.3","2,513,251"
"Secondary","Other","4.7","718,954"
"Secondary","Unknown","5.9","781,564"
"Special","All","9.1","2,702,589"
"Special","Asian","11.1","320,524"
"Special","Bangladeshi","11.5","55,887"
"Special","Indian","8.4","43,894"
"Special","Pakistani","12.3","171,766"
"Special","Asian other","9.9","48,977"
"Special","Black","7.3","152,985"
"Special","Black African","6.8","87,931"
"Special","Black Caribbean","8.1","37,679"
"Special","Black other","8.4","27,375"
"Special","Chinese","5.7","5,275"
"Special","Mixed","9.0","146,662"
"Special","Mixed White/Asian","8.5","24,694"
"Special","Mixed White/Black African","7.6","15,902"
"Special","Mixed White/Black Caribbean","9.8","50,371"
"Special","Mixed other","9.2","55,695"
"Special","White","8.9","1,971,541"
"Special","White British","8.8","1,833,798"
"Special","White Irish","13.5","10,139"
"Special","White Irish Traveller","24.3","8,685"
"Special","White Gypsy/Roma","18.1","18,675"
"Special","White other","9.7","100,244"
"Special","Other","10.2","46,293"
"Special","Any other","10.2","46,293"
"Special","Unknown","12.0","59,309"
