"Title","Persistent absence by ethnicity and type of school"
"Location","England"
"Time period","2015/16"
"Data source","Statistics: pupil absence"
"Data source link","https://www.gov.uk/government/collections/statistics-pupil-absence"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"school_type","Ethnicity","%","Enrolments"
"Primary","All","8.2","314,625"
"Primary","Asian","9.2","37,395"
"Primary","Bangladeshi","10.8","6,855"
"Primary","Indian","5.9","6,425"
"Primary","Pakistani","11.6","19,270"
"Primary","Asian other","7.0","4,845"
"Primary","Black","6.0","13,180"
"Primary","Black African","4.4","6,595"
"Primary","Black Caribbean","10.3","4,435"
"Primary","Black other","7.3","2,155"
"Primary","Chinese","3.1","525"
"Primary","Mixed","9.9","21,775"
"Primary","Mixed White/Asian","8.1","4,115"
"Primary","Mixed White/Black African","8.5","2,570"
"Primary","Mixed White/Black Caribbean","12.8","7,480"
"Primary","Mixed other","9.6","7,610"
"Primary","White","8.1","228,985"
"Primary","White British","7.5","192,700"
"Primary","White Irish","12.6","1,330"
"Primary","White Irish Traveller","64.0","2,810"
"Primary","White Gypsy/Roma","45.5","7,245"
"Primary","White other","10.2","24,895"
"Primary","Other","9.4","6,720"
"Primary","Unknown","14.1","6,045"
"Secondary","All","13.1","370,145"
"Secondary","Asian","9.7","27,705"
"Secondary","Bangladeshi","9.4","4,455"
"Secondary","Indian","6.1","4,655"
"Secondary","Pakistani","13.0","15,255"
"Secondary","Asian other","7.4","3,335"
"Secondary","Black","7.9","12,115"
"Secondary","Black African","5.5","5,270"
"Secondary","Black Caribbean","12.9","4,985"
"Secondary","Black other","9.7","1,860"
"Secondary","Chinese","2.6","255"
"Secondary","Mixed","15.1","20,100"
"Secondary","Mixed White/Asian","12.7","3,810"
"Secondary","Mixed White/Black African","12.8","2,095"
"Secondary","Mixed White/Black Caribbean","19.4","7,770"
"Secondary","Mixed other","13.8","6,420"
"Secondary","White","13.8","297,500"
"Secondary","White British","13.6","272,495"
"Secondary","White Irish","14.8","1,340"
"Secondary","White Irish Traveller","60.8","775"
"Secondary","White Gypsy/Roma","52.6","4,400"
"Secondary","White other","13.4","18,490"
"Secondary","Other","10.4","4,670"
"Secondary","Unknown","17.7","7,800"
"Special","All","26.9","22,620"
"Special","Asian","36.4","2,925"
"Special","Bangladeshi","38.9","520"
"Special","Indian","25.9","375"
"Special","Pakistani","40.7","1,580"
"Special","Asian other","32.7","450"
"Special","Black","21.6","1,255"
"Special","Black African","19.7","705"
"Special","Black Caribbean","24.6","330"
"Special","Black other","24.3","225"
"Special","Chinese","16.5","40"
"Special","Mixed","27.9","1,275"
"Special","Mixed White/Asian","24.9","200"
"Special","Mixed White/Black African","22.2","130"
"Special","Mixed White/Black Caribbean","31.8","470"
"Special","Mixed other","28.0","475"
"Special","White","25.8","16,045"
"Special","White British","25.4","14,885"
"Special","White Irish","35.2","75"
"Special","White Irish Traveller","59.4","60"
"Special","White Gypsy/Roma","55.0","165"
"Special","White other","30.0","860"
"Special","Other","31.2","395"
"Special","Unknown","37.5","685"
