"Title","People living in the most income-deprived 10% of neighbourhoods, by ethnicity"
"Location","England"
"Time period","2012/13"
"Data source","English Indices of Deprivation 2015"
"Data source link","https://www.gov.uk/government/statistics/english-indices-of-deprivation-2015"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Ethnicity","%","Number"
"All","10.0","5,297,320"
"Asian","17.3","716,728"
"Bangladeshi","32.2","140,552"
"Chinese","9.5","35,986"
"Indian","9.3","129,336"
"Pakistani","28.0","311,080"
"Asian other","12.2","99,774"
"Black","23.3","429,814"
"Black African","24.1","235,448"
"Black Caribbean","21.1","124,702"
"Black other","25.1","69,664"
"Mixed","15.4","184,117"
"Mixed White/Asian","11.0","36,501"
"Mixed White/Black African","17.4","28,119"
"Mixed White/Black Caribbean","19.8","82,291"
"Mixed other","13.1","37,206"
"White","8.5","3,868,311"
"White British","8.4","3,571,473"
"White Irish","9.3","47,905"
"White Gypsy/Traveller","12.7","6,964"
"White other","10.0","241,969"
"Other","17.9","98,350"
"Arab","19.7","43,440"
"Any other","16.8","54,910"
