"Title","Attainment of development goals by children aged 4 to 5 years"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/early-years-foundation-stage-profile-results-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19/10/16"
"Measure","Time","Time_type","Ethnicity","Gender","FSM eligibility","Value","Denominator"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White British","All","All pupils","70","422359"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Irish","All","All pupils","70","1598"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Traveller of Irish heritage","All","All pupils","36","644"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Gypsy / Roma","All","All pupils","24","1793"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Any other white background","All","All pupils","59","42638"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White and black Caribbean","All","All pupils","65","9501"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White and black African","All","All pupils","69","5474"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White and Asian","All","All pupils","73","9153"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Any other mixed background","All","All pupils","69","13734"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Indian","All","All pupils","73","18457"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Pakistani","All","All pupils","59","23710"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Bangladeshi","All","All pupils","62","9065"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Any other Asian background","All","All pupils","65","10767"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Black Caribbean","All","All pupils","65","5532"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Black African","All","All pupils","67","20837"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Any other black background","All","All pupils","65","4307"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Chinese","All","All pupils","66","2928"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Any other ethnic group","All","All pupils","58","10410"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All pupils","All","All pupils","67","669052"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White British","All","FSM eligible","50","59641"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Irish","All","FSM eligible","48","215"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Traveller of Irish heritage","All","FSM eligible","25","277"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Gypsy / Roma","All","FSM eligible","27","518"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Any other white background","All","FSM eligible","50","2576"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White and black Caribbean","All","FSM eligible","56","2777"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White and black African","All","FSM eligible","59","1137"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White and Asian","All","FSM eligible","58","1168"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Any other mixed background","All","FSM eligible","59","2460"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Indian","All","FSM eligible","62","652"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Pakistani","All","FSM eligible","52","2797"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Bangladeshi","All","FSM eligible","59","1401"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Any other Asian background","All","FSM eligible","54","1082"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Black Caribbean","All","FSM eligible","58","1519"
