"Title","Attainment of development goals by ethnicity and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Early years foundation stage profile results: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/early-years-foundation-stage-profile-results-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19/10/16"

"FSM_eligible","Ethnicity","%","Pupils"
"All","All","67","669,052"
"All","Asian","65","61,999"
"All","Bangladeshi","62","9,065"
"All","Indian","73","18,457"
"All","Pakistani","59","23,710"
"All","Asian other","65","10,767"
"All","Black","66","30,676"
"All","Black African","67","20,837"
"All","Black Caribbean","65","5,532"
"All","Black other","65","4,307"
"All","Chinese","66","2,928"
"All","Mixed","69","37,862"
"All","Mixed White/Asian","73","9,153"
"All","Mixed White/Black African","69","5,474"
"All","Mixed White/Black Caribbean","65","9,501"
"All","Mixed other","69","13,734"
"All","White","69","469,032"
"All","White British","70","422,359"
"All","White Irish","70","1,598"
"All","White Irish Traveller","36","644"
"All","White Gypsy/Roma","24","1,793"
"All","White other","59","42,638"
"All","Other","",""
"All","Any other","58","10,410"
"FSM eligible","All","52","93,538"
"FSM eligible","Asian","55","5,932"
"FSM eligible","Bangladeshi","59","1,401"
"FSM eligible","Indian","62","652"
"FSM eligible","Pakistani","52","2,797"
"FSM eligible","Asian other","54","1,082"
"FSM eligible","Black","60","7,036"
"FSM eligible","Black African","61","4,485"
"FSM eligible","Black Caribbean","58","1,519"
"FSM eligible","Black other","60","1,032"
"FSM eligible","Chinese","58","256"
"FSM eligible","Mixed","58","7,542"
"FSM eligible","Mixed White/Asian","58","1,168"
"FSM eligible","Mixed White/Black African","59","1,137"
"FSM eligible","Mixed White/Black Caribbean","56","2,777"
"FSM eligible","Mixed other","59","2,460"
"FSM eligible","White","50","63,227"
"FSM eligible","White British","50","59,641"
"FSM eligible","White Irish","48","215"
"FSM eligible","White Irish Traveller","25","277"
"FSM eligible","White Gypsy/Roma","27","518"
"FSM eligible","White other","50","2,576"
"FSM eligible","Other","",""
"FSM eligible","Any other","53","1,922"
"All other pupils","All","70","575,514"
"All other pupils","Asian","66","56,067"
"All other pupils","Bangladeshi","62","7,664"
"All other pupils","Indian","74","17,805"
"All other pupils","Pakistani","60","20,913"
"All other pupils","Asian other","67","9,685"
"All other pupils","Black","68","23,640"
"All other pupils","Black African","68","16,352"
"All other pupils","Black Caribbean","68","4,013"
"All other pupils","Black other","66","3,275"
"All other pupils","Chinese","67","2,672"
"All other pupils","Mixed","72","30,320"
"All other pupils","Mixed White/Asian","76","7,985"
"All other pupils","Mixed White/Black African","72","4,337"
"All other pupils","Mixed White/Black Caribbean","69","6,724"
"All other pupils","Mixed other","71","11,274"
"All other pupils","White","72","405,805"
"All other pupils","White British","73","362,718"
"All other pupils","White Irish","73","1,383"
"All other pupils","White Irish Traveller","44","367"
"All other pupils","White Gypsy/Roma","23","1,275"
"All other pupils","White other","60","40,062"
"All other pupils","Other","",""
"All other pupils","Any other","60","8,488"
