"Title","Attainment of development goals by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Early years foundation stage profile results: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/early-years-foundation-stage-profile-results-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Gender","Ethnicity","%","All pupils"
"All","All","67","669,052"
"All","Asian","65","61,999"
"All","Bangladeshi","62","9,065"
"All","Indian","73","18,457"
"All","Pakistani","59","23,710"
"All","Asian other","65","10,767"
"All","Black","66","30,676"
"All","Black African","67","20,837"
"All","Black Caribbean","65","5,532"
"All","Black other","65","4,307"
"All","Chinese","66","2,928"
"All","Mixed","69","37,862"
"All","Mixed White/Asian","73","9,153"
"All","Mixed White/Black African","69","5,474"
"All","Mixed White/Black Caribbean","65","9,501"
"All","Mixed other","69","13,734"
"All","White","69","469,032"
"All","White British","70","422,359"
"All","White Irish","70","1,598"
"All","White Irish Traveller","36","644"
"All","White Gypsy/Roma","24","1,793"
"All","White other","59","42,638"
"All","Other","58","10,410"
"Boys","All","60","342,947"
"Boys","Asian","57","31,669"
"Boys","Bangladeshi","53","4,596"
"Boys","Indian","66","9,516"
"Boys","Pakistani","51","12,046"
"Boys","Asian other","58","5,511"
"Boys","Black","58","15,458"
"Boys","Black African","58","10,506"
"Boys","Black Caribbean","56","2,767"
"Boys","Black other","56","2,185"
"Boys","Chinese","58","1,540"
"Boys","Mixed","61","19,233"
"Boys","Mixed White/Asian","66","4,626"
"Boys","Mixed White/Black African","61","2,730"
"Boys","Mixed White/Black Caribbean","56","4,812"
"Boys","Mixed other","62","7,065"
"Boys","White","61","240,962"
"Boys","White British","62","217,016"
"Boys","White Irish","64","862"
"Boys","White Irish Traveller","27","328"
"Boys","White Gypsy/Roma","18","891"
"Boys","White other","52","21,865"
"Boys","Other","52","5,471"
"Girls","All","75","326,105"
"Girls","Asian","72","30,330"
"Girls","Bangladeshi","70","4,469"
"Girls","Indian","81","8,941"
"Girls","Pakistani","67","11,664"
"Girls","Asian other","73","5,256"
"Girls","Black","75","15,218"
"Girls","Black African","75","10,331"
"Girls","Black Caribbean","74","2,765"
"Girls","Black other","73","2,122"
"Girls","Chinese","75","1,388"
"Girls","Mixed","77","18,629"
"Girls","Mixed White/Asian","80","4,527"
"Girls","Mixed White/Black African","77","2,744"
"Girls","Mixed White/Black Caribbean","74","4,689"
"Girls","Mixed other","77","6,669"
"Girls","White","77","228,070"
"Girls","White British","78","205,343"
"Girls","White Irish","77","736"
"Girls","White Irish Traveller","45","316"
"Girls","White Gypsy/Roma","30","902"
"Girls","White other","67","20,773"
"Girls","Other","66","4,939"
