"Title","Attainment of development goals by ethnicity and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Early years foundation stage profile results: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/early-years-foundation-stage-profile-results-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"","All","","FSM eligible","","All other pupils",""
"Ethnicity","%","Pupils","%","Pupils","%","Pupils"
"All","67","669,052","52","93,538","70","575,514"
"Asian","65","61,999","55","5,932","66","56,067"
"Bangladeshi","62","9,065","59","1,401","62","7,664"
"Indian","73","18,457","62","652","74","17,805"
"Pakistani","59","23,710","52","2,797","60","20,913"
"Asian other","65","10,767","54","1,082","67","9,685"
"Black","66","30,676","60","7,036","68","23,640"
"Black African","67","20,837","61","4,485","68","16,352"
"Black Caribbean","65","5,532","58","1,519","68","4,013"
"Black other","65","4,307","60","1,032","66","3,275"
"Chinese","66","2,928","58","256","67","2,672"
"Mixed","69","37,862","58","7,542","72","30,320"
"Mixed White/Asian","73","9,153","58","1,168","76","7,985"
"Mixed White/Black African","69","5,474","59","1,137","72","4,337"
"Mixed White/Black Caribbean","65","9,501","56","2,777","69","6,724"
"Mixed other","69","13,734","59","2,460","71","11,274"
"White","69","469,032","50","63,227","72","405,805"
"White British","70","422,359","50","59,641","73","362,718"
"White Irish","70","1,598","48","215","73","1,383"
"White Irish Traveller","36","644","25","277","44","367"
"White Gypsy/Roma","24","1,793","27","518","23","1,275"
"White other","59","42,638","50","2,576","60","40,062"
"Other","","","","","",""
"Any other","58","10,410","53","1,922","60","8,488"
