"Title","Attainment of development goals by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Early years foundation stage profile results: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/early-years-foundation-stage-profile-results-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"","All","Asian","Black","Chinese","Mixed","White"
"Local authority","Value","Value","Value","Value","Value","Value"
"All- England","67","65","66","66","69","69"
"Barking and Dagenham","67","71","71","-","75","63"
"Barnet","68","72","59","81","73","70"
"Barnsley","63","33","59","-","61","64"
"Bath and North East Somerset","68","74","56","-","67","68"
"Bedford","60","52","66","60","67","62"
"Bexley","77","77","80","79","79","77"
"Birmingham","61","-","-","-","-","-"
"Blackburn with Darwen","59","60","50","36","66","59"
"Blackpool","63","52","-","-","65","64"
"Bolton","61","61","47","31","69","64"
"Bournemouth","70","77","-","57","71","72"
"Bracknell Forest","72","80","59","75","69","73"
"Bradford","63","61","65","-","65","66"
"Brent","66","70","64","67","70","66"
"Brighton and Hove","65","60","56","47","65","66"
"Bristol, City of","65","52","53","87","66","68"
"Bromley","75","80","71","67","76","76"
"Buckinghamshire","69","55","65","76","73","72"
"Bury","68","60","72","50","66","69"
"Calderdale","65","53","67","44","61","68"
"Cambridgeshire","67","65","51","78","68","68"
"Camden","63","61","53","64","61","66"
"Central Bedfordshire","67","62","67","50","66","68"
"Cheshire East","69","68","-","-","64","70"
"Cheshire West and Chester","69","67","50","-","72","70"
"City of London","79","73","-","-","-","-"
"Cornwall","65","56","-","53","70","66"
"County Durham","66","72","55","52","70","67"
"Coventry","64","68","68","70","67","62"
"Croydon","68","67","67","77","69","71"
"Cumbria","63","-","-","-","-","-"
"Darlington","67","45","57","-","75","68"
"Derby","64","54","65","50","72","67"
"Derbyshire","68","66","69","62","71","68"
"Devon","71","70","-","67","75","72"
"Doncaster","68","59","56","77","65","68"
"Dorset","69","54","-","-","67","69"
"Dudley","62","54","57","36","65","63"
"Ealing","68","69","64","-","76","70"
"East Riding of Yorkshire","68","75","-","-","76","68"
"East Sussex","75","78","67","83","73","75"
"Enfield","64","-","-","-","-","-"
"Essex","70","70","72","60","71","71"
"Gateshead","67","81","67","47","67","68"
"Gloucestershire","65","60","52","53","63","66"
"Greenwich","77","80","79","83","79","76"
"Hackney","68","77","73","81","80","74"
"Halton","58","-","-","-","62","58"
"Hammersmith and Fulham","69","75","62","-","71","71"
"Hampshire","74","74","67","74","73","74"
"Haringey","71","80","72","66","80","71"
"Harrow","71","76","67","-","73","68"
"Hartlepool","65","54","-","-","70","65"
"Havering","69","69","61","-","71","70"
"Herefordshire","71","59","-","100","63","71"
