"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Geography_name","Gender","Gender_type","Value","Denominator","Value Note","Geography name"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E92000001","ONS geography code","England","All","Male/Female/All","67","669052","","Country"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E92000001","ONS geography code","England","All","Male/Female/All","65","61999","","Country"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Black","White/Black/Asian/Mixed/Chinese/All","E92000001","ONS geography code","England","All","Male/Female/All","66","30676","","Country"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E92000001","ONS geography code","England","All","Male/Female/All","66","2928","","Country"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E92000001","ONS geography code","England","All","Male/Female/All","69","37862","","Country"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E92000001","ONS geography code","England","All","Male/Female/All","69","469032","","Country"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000007","ONS geography code","London","All","Male/Female/All","70","107910","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000008","ONS geography code","South East","All","Male/Female/All","72","107900","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000002","ONS geography code","North West","All","Male/Female/All","64","89200","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000008","ONS geography code","South East","All","Male/Female/All","73","85000","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000006","ONS geography code","East","All","Male/Female/All","68","74660","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000005","ONS geography code","West Midlands","All","Male/Female/All","64","73590","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E13000002","ONS geography code","Outer London","All","Male/Female/All","70","70590","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000003","ONS geography code","Yorkshire and the Humber","All","Male/Female/All","65","66380","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000002","ONS geography code","North West","All","Male/Female/All","66","66080","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E92000001","ONS geography code","England","Female","Male/Female/All","75","326105","","Country"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000009","ONS geography code","South West","All","Male/Female/All","68","61800","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000006","ONS geography code","East","All","Male/Female/All","69","59080","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000004","ONS geography code","East Midlands","All","Male/Female/All","65","56810","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000008","ONS geography code","South East","Male","Male/Female/All","64","55450","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000007","ONS geography code","London","Male","Male/Female/All","63","55320","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000007","ONS geography code","London","Female","Male/Female/All","77","52590","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000009","ONS geography code","South West","All","Male/Female/All","69","52440","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000008","ONS geography code","South East","Female","Male/Female/All","80","52440","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000003","ONS geography code","Yorkshire and the Humber","All","Male/Female/All","67","50420","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000002","ONS geography code","North West","Male","Male/Female/All","56","45600","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000004","ONS geography code","East Midlands","All","Male/Female/All","66","44100","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000008","ONS geography code","South East","Male","Male/Female/All","65","43810","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000005","ONS geography code","West Midlands","All","Male/Female/All","67","43650","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000002","ONS geography code","North West","Female","Male/Female/All","73","43600","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000007","ONS geography code","London","All","Male/Female/All","71","41620","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000008","ONS geography code","South East","Female","Male/Female/All","81","41190","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000006","ONS geography code","East","Male","Male/Female/All","60","38330","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E92000001","ONS geography code","England","Female","Male/Female/All","77","228070","","Country"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000005","ONS geography code","West Midlands","Male","Male/Female/All","56","37590","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E13000001","ONS geography code","Inner London","All","Male/Female/All","69","37320","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000006","ONS geography code","East","Female","Male/Female/All","76","36320","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E13000002","ONS geography code","Outer London","Male","Male/Female/All","63","36240","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000005","ONS geography code","West Midlands","Female","Male/Female/All","73","36000","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E13000002","ONS geography code","Outer London","Female","Male/Female/All","77","34350","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000003","ONS geography code","Yorkshire and the Humber","Male","Male/Female/All","57","34060","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000002","ONS geography code","North West","Male","Male/Female/All","58","33780","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000003","ONS geography code","Yorkshire and the Humber","Female","Male/Female/All","74","32320","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000002","ONS geography code","North West","Female","Male/Female/All","75","32300","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000009","ONS geography code","South West","Male","Male/Female/All","61","31670","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E92000001","ONS geography code","England","Female","Male/Female/All","72","30330","","Country"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000001","ONS geography code","North East","All","Male/Female/All","66","30820","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E92000001","ONS geography code","England","Female","Male/Female/All","77","18629","","Country"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000006","ONS geography code","East","Male","Male/Female/All","61","30460","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Black","White/Black/Asian/Mixed/Chinese/All","E92000001","ONS geography code","England","Female","Male/Female/All","75","15218","","Country"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000009","ONS geography code","South West","Female","Male/Female/All","76","30120","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E13000002","ONS geography code","Outer London","All","Male/Female/All","71","29720","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000004","ONS geography code","East Midlands","Male","Male/Female/All","57","29090","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000006","ONS geography code","East","Female","Male/Female/All","77","28620","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E12000004","ONS geography code","East Midlands","Female","Male/Female/All","73","27720","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000009","ONS geography code","South West","Male","Male/Female/All","61","26880","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000001","ONS geography code","North East","All","Male/Female/All","67","26660","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000003","ONS geography code","Yorkshire and the Humber","Male","Male/Female/All","59","25850","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000009","ONS geography code","South West","Female","Male/Female/All","77","25560","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000003","ONS geography code","Yorkshire and the Humber","Female","Male/Female/All","75","24570","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000004","ONS geography code","East Midlands","Male","Male/Female/All","59","22560","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000005","ONS geography code","West Midlands","Male","Male/Female/All","59","22410","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000004","ONS geography code","East Midlands","Female","Male/Female/All","75","21540","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000007","ONS geography code","London","Male","Male/Female/All","64","21520","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000005","ONS geography code","West Midlands","Female","Male/Female/All","75","21240","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E12000007","ONS geography code","London","Female","Male/Female/All","79","20100","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E12000007","ONS geography code","London","All","Male/Female/All","71","19933","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E92000001","ONS geography code","England","Female","Male/Female/All","75","1388","","Country"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E13000001","ONS geography code","Inner London","Male","Male/Female/All","62","19080","","Local authority"
